context,policy,technology,adcode,degradation_fraction,cost_ceiling_usd_kwdc,central_cost_usd_kwdc,positive_cost_possible
cap,No subsidy,SJ,620200,0.0,436.3888767482709,385.0,True
cap,No subsidy,SJ,620300,0.0,436.7105798641762,385.0,True
cap,No subsidy,SJ,620400,0.0,436.9424397191802,385.0,True
cap,No subsidy,SJ,620500,0.0,438.1338464121069,385.0,True
cap,No subsidy,SJ,620600,0.0,437.03608052399835,385.0,True
cap,No subsidy,SJ,620700,0.0,437.42984273993636,385.0,True
cap,No subsidy,SJ,620800,0.0,438.8090828036033,385.0,True
cap,No subsidy,SJ,620900,0.0,436.5815939021658,385.0,True
cap,No subsidy,SJ,621000,0.0,439.07856941449324,385.0,True
cap,No subsidy,SJ,621100,0.0,436.822460834377,385.0,True
cap,No subsidy,SJ,621200,0.0,406.33603561366226,385.0,True
cap,No subsidy,SJ,622900,0.0,437.0740029079938,385.0,True
cap,No subsidy,SJ,623000,0.0,434.7357935984864,385.0,True
cap,No subsidy,SJ,630100,0.0,435.1070314821452,385.0,True
cap,No subsidy,SJ,630200,0.0,436.31377358222585,385.0,True
cap,No subsidy,SJ,632200,0.0,435.11162340564067,385.0,True
cap,No subsidy,SJ,632300,0.0,433.76490840313426,385.0,True
cap,No subsidy,SJ,632500,0.0,433.70412397354085,385.0,True
cap,No subsidy,SJ,632600,0.0,431.0848565270119,385.0,True
cap,No subsidy,SJ,632700,0.0,430.82848431902096,385.0,True
cap,No subsidy,SJ,632800,0.0,433.5305442426367,385.0,True
cap,No subsidy,SJ,640100,0.0,439.12858962267956,385.0,True
cap,No subsidy,SJ,640200,0.0,440.338377739132,385.0,True
cap,No subsidy,SJ,640300,0.0,438.084394787851,385.0,True
cap,No subsidy,SJ,640400,0.0,436.35449930886074,385.0,True
cap,No subsidy,SJ,640500,0.0,436.8514644610045,385.0,True
cap,No subsidy,SJ,650100,0.0,439.1049272446263,385.0,True
cap,No subsidy,SJ,650200,0.0,439.0460150519893,385.0,True
cap,No subsidy,SJ,650400,0.0,443.9074312487407,385.0,True
cap,No subsidy,SJ,650500,0.0,440.7287206719722,385.0,True
cap,No subsidy,SJ,652300,0.0,440.23154598984996,385.0,True
cap,No subsidy,SJ,652700,0.0,441.0009012949844,385.0,True
cap,No subsidy,SJ,652800,0.0,440.69577491638177,385.0,True
cap,No subsidy,SJ,652900,0.0,442.9153930737913,385.0,True
cap,No subsidy,SJ,653000,0.0,444.0762805432983,385.0,True
cap,No subsidy,SJ,653100,0.0,443.24413553693097,385.0,True
cap,No subsidy,SJ,653200,0.0,440.52977536925965,385.0,True
cap,No subsidy,SJ,654000,0.0,441.11703687385244,385.0,True
cap,No subsidy,SJ,654200,0.0,439.2121003474759,385.0,True
cap,No subsidy,SJ,654300,0.0,436.6041870030934,385.0,True
cap,No subsidy,SJ,110000,0.005,420.2459919055722,385.0,True
cap,No subsidy,SJ,120000,0.005,419.7802354857619,385.0,True
cap,No subsidy,SJ,130100,0.005,422.34602068720926,385.0,True
cap,No subsidy,SJ,130200,0.005,419.1709403253139,385.0,True
cap,No subsidy,SJ,130300,0.005,416.1183697041565,385.0,True
cap,No subsidy,SJ,130400,0.005,423.68412102693924,385.0,True
cap,No subsidy,SJ,130500,0.005,423.2923885029567,385.0,True
cap,No subsidy,SJ,130600,0.005,421.8062387896084,385.0,True
cap,No subsidy,SJ,130700,0.005,417.0593574358361,385.0,True
cap,No subsidy,SJ,130800,0.005,417.7570894103106,385.0,True
cap,No subsidy,SJ,130900,0.005,420.7577039539409,385.0,True
cap,No subsidy,SJ,131000,0.005,420.6968446856082,385.0,True
cap,No subsidy,SJ,131100,0.005,422.5025509333835,385.0,True
cap,No subsidy,SJ,140100,0.005,419.6514293701928,385.0,True
cap,No subsidy,SJ,140200,0.005,416.46802089150657,385.0,True
cap,No subsidy,SJ,140300,0.005,419.81459380644037,385.0,True
cap,No subsidy,SJ,140400,0.005,420.45562683022894,385.0,True
cap,No subsidy,SJ,140500,0.005,422.64865545292696,385.0,True
cap,No subsidy,SJ,140600,0.005,415.51772197862675,385.0,True
cap,No subsidy,SJ,140700,0.005,420.5668301026769,385.0,True
cap,No subsidy,SJ,140800,0.005,423.5839745495515,385.0,True
cap,No subsidy,SJ,140900,0.005,417.8552828822061,385.0,True
cap,No subsidy,SJ,141000,0.005,422.81816753752554,385.0,True
cap,No subsidy,SJ,141100,0.005,419.07633120044676,385.0,True
cap,No subsidy,SJ,150100,0.005,415.017793536018,385.0,True
cap,No subsidy,SJ,150200,0.005,414.098289658969,385.0,True
cap,No subsidy,SJ,150300,0.005,415.4943883352767,385.0,True
cap,No subsidy,SJ,150400,0.005,413.4917429217595,385.0,True
cap,No subsidy,SJ,150500,0.005,413.3321291169974,385.0,True
cap,No subsidy,SJ,150600,0.005,415.48205427205215,385.0,True
cap,No subsidy,SJ,150700,0.005,410.41106886076057,385.0,True
cap,No subsidy,SJ,150800,0.005,413.9872483785686,385.0,True
cap,No subsidy,SJ,150900,0.005,413.0212753649761,385.0,True
cap,No subsidy,SJ,152200,0.005,411.51034017952844,385.0,True
cap,No subsidy,SJ,152500,0.005,411.46243202266464,385.0,True
cap,No subsidy,SJ,152900,0.005,413.43746106597894,385.0,True
cap,No subsidy,SJ,210100,0.005,414.9525980651157,385.0,True
cap,No subsidy,SJ,210200,0.005,415.0775116753488,385.0,True
cap,No subsidy,SJ,210300,0.005,416.00992639191657,385.0,True
cap,No subsidy,SJ,210400,0.005,415.4733902968016,385.0,True
cap,No subsidy,SJ,210500,0.005,416.34504827503207,385.0,True
cap,No subsidy,SJ,210600,0.005,416.774040209492,385.0,True
cap,No subsidy,SJ,210700,0.005,414.89692786078075,385.0,True
cap,No subsidy,SJ,210800,0.005,415.20202387327475,385.0,True
cap,No subsidy,SJ,210900,0.005,414.57708218313843,385.0,True
cap,No subsidy,SJ,211000,0.005,416.0456514203397,385.0,True
cap,No subsidy,SJ,211100,0.005,414.74042759368126,385.0,True
cap,No subsidy,SJ,211200,0.005,414.4083765099388,385.0,True
cap,No subsidy,SJ,211300,0.005,414.73108532442956,385.0,True
cap,No subsidy,SJ,211400,0.005,414.8343761569847,385.0,True
cap,No subsidy,SJ,220100,0.005,412.07534545785995,385.0,True
cap,No subsidy,SJ,220200,0.005,413.8712165138287,385.0,True
cap,No subsidy,SJ,220300,0.005,413.35588002829456,385.0,True
cap,No subsidy,SJ,220400,0.005,413.7707503638351,385.0,True
cap,No subsidy,SJ,220500,0.005,414.7149687584876,385.0,True
cap,No subsidy,SJ,220600,0.005,414.4714603112116,385.0,True
cap,No subsidy,SJ,220700,0.005,411.15098257115187,385.0,True
cap,No subsidy,SJ,220800,0.005,410.5957238438927,385.0,True
cap,No subsidy,SJ,222400,0.005,414.1121463067341,385.0,True
cap,No subsidy,SJ,230100,0.005,412.40321830265003,385.0,True
cap,No subsidy,SJ,230200,0.005,410.5349600959077,385.0,True
cap,No subsidy,SJ,230300,0.005,412.3963274285715,385.0,True
cap,No subsidy,SJ,230400,0.005,411.9375794111266,385.0,True
cap,No subsidy,SJ,230500,0.005,412.2922874649624,385.0,True
cap,No subsidy,SJ,230600,0.005,410.6883863661998,385.0,True
cap,No subsidy,SJ,230700,0.005,412.15535049265713,385.0,True
cap,No subsidy,SJ,230800,0.005,411.69916188132424,385.0,True
cap,No subsidy,SJ,230900,0.005,411.79038947554875,385.0,True
