adcode,city,province,province_en,display_group,display_row,best_build_npv_kusd,nonviable,class_id,class_roman,paired_class,lon,lat,matched_new_viable,support_class,priority_rank,display_y,display_y_center
532900,大理,云南,Yunnan,云南,12,118.26590699046858,False,3,IV,Single junction / 2T tandem,100.0455231404233,25.718800125132933,0,Initially viable,0,11.999999999999993,12.0
533100,德宏,云南,Yunnan,云南,12,80.44132758997603,False,1,II,Single junction / c-Si,98.09707039260115,24.563827550514286,0,Initially viable,0,11.790171595285209,12.0
533300,怒江,云南,Yunnan,云南,12,69.44605949993195,False,1,II,Single junction / c-Si,98.88575619252238,26.92110118174108,0,Initially viable,0,12.218886127854546,12.0
533400,迪庆,云南,Yunnan,云南,12,174.02019751288412,False,2,III,c-Si / 2T tandem,99.4281127520214,27.96211239002552,0,Initially viable,0,11.999999999999993,12.0
620100,兰州,甘肃,Gansu,甘肃,13,155.66136432089831,False,2,III,c-Si / 2T tandem,103.66766885814675,36.34904281195936,0,Initially viable,0,12.877066903283897,13.0
620200,嘉峪关,甘肃,Gansu,甘肃,13,227.86109479752008,False,2,III,c-Si / 2T tandem,98.23566603677276,39.80705010419737,0,Initially viable,0,12.999999999999993,13.0
620300,金昌,甘肃,Gansu,甘肃,13,220.53786685468924,False,2,III,c-Si / 2T tandem,102.05905666225634,38.42769262709518,0,Initially viable,0,12.999999999999993,13.0
620400,白银,甘肃,Gansu,甘肃,13,151.74710492283782,False,2,III,c-Si / 2T tandem,104.62383757097602,36.61483974449671,0,Initially viable,0,13.061279042323939,13.0
620500,天水,甘肃,Gansu,甘肃,13,11.302317769440036,False,1,II,Single junction / c-Si,105.7393654263725,34.65072881717372,0,Initially viable,0,12.999999999999993,13.0
620600,武威,甘肃,Gansu,甘肃,13,211.8891893884141,False,2,III,c-Si / 2T tandem,103.04895843086454,38.15428701740542,0,Initially viable,0,12.999999999999993,13.0
620700,张掖,甘肃,Gansu,甘肃,13,240.0614202849409,False,2,III,c-Si / 2T tandem,99.81768093902298,38.95493528744604,0,Initially viable,0,12.999999999999993,13.0
620800,平凉,甘肃,Gansu,甘肃,13,44.43937171190635,False,1,II,Single junction / c-Si,106.66340600571262,35.30929026850637,0,Initially viable,0,12.999999999999993,13.0
