cost_multiplier,tandem_degradation,replacement_rule,context,policy,viable,si,sj,t,public_usd,new_projects,additional_discounted_mwh,additional_undiscounted_mwh,entry_discounted_mwh,switch_discounted_mwh
1.0,0.02,stop_option,cap,New20,337,0,337,0,27246450.0,13,141038.0924707188,227018.24683044612,141038.09247071878,0.0
1.0,0.02,stop_option,cap,New30,337,0,337,0,40869675.0,13,141038.0924707188,227018.24683044612,141038.09247071878,0.0
1.0,0.02,stop_option,area,None,337,331,6,0,0.0,0,0.0,0.0,0.0,0.0
1.0,0.02,stop_option,area,General20,337,337,0,0,56545031.060645126,0,27319.004625250713,58965.74775787699,0.0,27319.004625250713
1.0,0.02,stop_option,area,New20,337,2,59,276,69587296.66378643,0,329899.9081498165,-63644.671797961535,0.0,329899.9081498165
1.0,0.02,stop_option,area,New30,337,0,29,308,110881558.56304526,0,559589.9579666043,359835.35468990944,0.0,559589.9579666043
1.2,0.005,full,cap,None,235,235,0,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.005,full,cap,General20,313,313,0,0,36725850.301130205,78,1232811.7467224083,2159906.2141931877,1232811.7467224086,0.0
1.2,0.005,full,cap,New20,235,235,0,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.005,full,cap,New30,281,18,263,0,38274390.0,46,288054.5259185542,469255.0433142356,692684.0655562931,-404629.53963773896
1.2,0.005,full,area,None,337,326,0,11,0.0,0,0.0,0.0,0.0,0.0
1.2,0.005,full,area,General20,337,186,0,151,72968047.12349041,0,987373.6769019753,1729894.7273509074,0.0,987373.6769019751
1.2,0.005,full,area,New20,337,9,0,328,90708762.58954735,0,2003470.332119365,3510112.5794761674,0.0,2003470.3321193648
1.2,0.005,full,area,New30,337,0,0,337,139796583.80797622,0,2042382.5786525374,3578287.4677497954,0.0,2042382.5786525372
1.2,0.005,half,cap,None,235,235,0,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.005,half,cap,General20,313,313,0,0,36725850.301130205,78,1232811.7467224083,2159906.2141931877,1232811.7467224086,0.0
1.2,0.005,half,cap,New20,300,0,300,0,29106000.0,65,513205.00464573526,858810.5121611815,961882.0391140963,-448677.034468361
1.2,0.005,half,cap,New30,324,0,324,0,47151720.0,89,827596.7175986492,1407198.819197935,1276273.7520670104,-448677.034468361
1.2,0.005,half,area,None,337,326,0,11,0.0,0,0.0,0.0,0.0,0.0
1.2,0.005,half,area,General20,337,186,0,151,72968047.12349041,0,987373.6769019753,1729894.7273509074,0.0,987373.6769019751
1.2,0.005,half,area,New20,337,4,5,328,91316953.34299694,0,1987031.6928607975,3480766.9507694016,0.0,1987031.6928607973
1.2,0.005,half,area,New30,337,0,0,337,139796583.80797622,0,2042382.5786525374,3578287.4677497954,0.0,2042382.5786525372
1.2,0.005,salvage,cap,None,253,149,104,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.005,salvage,cap,General20,317,269,48,0,36220070.961674206,64,1087878.212791552,1913989.7416177862,939946.0703984745,147932.14239307767
1.2,0.005,salvage,cap,New20,317,0,317,0,30755340.0,64,593895.6208796873,1011705.6842702213,910701.0890310375,-316805.4681513503
1.2,0.005,salvage,cap,New30,333,0,333,0,48461490.0,80,792898.7617220379,1358823.598023494,1109704.229873388,-316805.4681513503
1.2,0.005,salvage,area,None,337,326,0,11,0.0,0,0.0,0.0,0.0,0.0
1.2,0.005,salvage,area,General20,337,186,0,151,72968047.12349041,0,987373.6769019753,1729894.7273509074,0.0,987373.6769019751
1.2,0.005,salvage,area,New20,337,0,15,322,90874028.21716048,0,1921393.2408897914,3364570.599000917,0.0,1921393.2408897912
1.2,0.005,salvage,area,New30,337,0,4,333,138867106.0793801,0,2012743.3757210637,3525928.597512953,0.0,2012743.3757210635
1.2,0.005,stop_option,cap,None,258,168,90,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.005,stop_option,cap,General20,324,245,79,0,36411651.32197093,66,1066365.8004107466,1911203.2780132042,852675.6149388178,213690.18547192856
1.2,0.005,stop_option,cap,New20,324,0,324,0,31434480.0,66,224416.88919497567,-136983.31520546426,844579.9731158487,-620163.083920873
1.2,0.005,stop_option,cap,New30,334,0,334,0,48607020.0,76,335281.6107948493,41467.16077622151,955444.6947157222,-620163.083920873
1.2,0.005,stop_option,area,None,337,326,0,11,0.0,0,0.0,0.0,0.0,0.0
1.2,0.005,stop_option,area,General20,337,186,0,151,72968047.12349041,0,987373.6769019753,1729894.7273509074,0.0,987373.6769019751
1.2,0.005,stop_option,area,New20,337,3,6,328,91438591.49368685,0,1976151.3274941144,3451146.8317182907,0.0,1976151.3274941142
1.2,0.005,stop_option,area,New30,337,0,1,336,139564214.3758272,0,2034051.3503974022,3561944.054349488,0.0,2034051.3503974022
1.2,0.012,full,cap,None,235,235,0,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.012,full,cap,General20,313,313,0,0,36725850.301130205,78,1232811.7467224083,2159906.2141931877,1232811.7467224086,0.0
1.2,0.012,full,cap,New20,235,235,0,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.012,full,cap,New30,281,18,263,0,38274390.0,46,288054.5259185542,469255.0433142356,692684.0655562931,-404629.53963773896
1.2,0.012,full,area,None,337,337,0,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.012,full,area,General20,337,337,0,0,56545031.060645126,0,0.0,0.0,0.0,0.0
1.2,0.012,full,area,New20,337,217,0,120,33186132.65471245,0,586111.2114242758,899377.6841856675,0.0,586111.2114242759
1.2,0.012,full,area,New30,337,3,0,334,138552103.83342448,0,1432111.3516110324,2200091.7377087735,0.0,1432111.3516110324
1.2,0.012,half,cap,None,235,235,0,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.012,half,cap,General20,313,313,0,0,36725850.301130205,78,1232811.7467224083,2159906.2141931877,1232811.7467224086,0.0
1.2,0.012,half,cap,New20,300,0,300,0,29106000.0,65,513205.00464573526,858810.5121611815,961882.0391140963,-448677.034468361
1.2,0.012,half,cap,New30,324,0,324,0,47151720.0,89,827596.7175986492,1407198.819197935,1276273.7520670104,-448677.034468361
1.2,0.012,half,area,None,337,337,0,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.012,half,area,General20,337,337,0,0,56545031.060645126,0,0.0,0.0,0.0,0.0
1.2,0.012,half,area,New20,337,212,5,120,33794323.40816203,0,569672.572165708,870032.0554789016,0.0,569672.5721657082
1.2,0.012,half,area,New30,337,0,20,317,135149195.16499558,0,1305752.332621244,1987735.1424832407,0.0,1305752.332621244
1.2,0.012,salvage,cap,None,253,149,104,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.012,salvage,cap,General20,317,269,48,0,36220070.961674206,64,1087878.212791552,1913989.7416177862,939946.0703984745,147932.14239307767
