adcode,city,province,ghi_quartile,gamma_pct_c,spectral_scale,advantage_t0_s0_i0_pct,advantage_t1_s0_i0_pct,advantage_t0_s1_i0_pct,advantage_t1_s1_i0_pct,advantage_t0_s0_i1_pct,advantage_t1_s0_i1_pct,advantage_t0_s1_i1_pct,advantage_t1_s1_i1_pct,thermal_pp,spectral_pp,iam_pp,electrical_pp,total_pct,largest_climate_term
211400,葫芦岛,辽宁,Q3,-0.1,0.7,0.6129559518063044,0.8624679331706409,1.4094513627083582,1.6955714418809942,0.6298314699837215,0.9047046526478032,1.4642637135965808,1.7743535381998354,0.2800328122953166,0.8333040575385641,0.0480607165596502,0.6129559518063044,1.7743535381998354,spectral
150400,赤峰,内蒙古,Q3,-0.1,0.7,0.5827047059734802,0.6883434021753843,1.239645120674604,1.3961093354099452,0.5997631701694761,0.7338177210582275,1.297105028700596,1.473866789922984,0.1425532800787795,0.6998477931495735,0.0487610107211507,0.5827047059734802,1.473866789922984,spectral
410600,鹤壁,河南,Q3,-0.1,0.7,0.6611338955843316,2.393249065088021,1.64370224302397,3.487766919853086,0.6784597037108542,2.4843647740451225,1.7080454605176154,3.623701879464436,1.824252154010734,1.0613190862149549,0.0769967436544153,0.6611338955843316,3.623701879464436,thermal
130500,邢台,河北,Q3,-0.1,0.7,0.6477924005332758,2.357222206298215,1.5715102167816797,3.3930210279725204,0.6652089311248055,2.445863475081178,1.6367963527791796,3.522001776293271,1.7985726356175458,1.0011830797082788,0.0744536604341705,0.6477924005332758,3.522001776293271,thermal
370600,烟台,山东,Q3,-0.1,0.7,0.6571061839879988,1.3066192521306474,1.6116090968799623,2.3134325707476533,0.6747071413861772,1.3670760974254126,1.6710825555407816,2.414215312317447,0.6965806799575924,1.001078831389934,0.0594496169819214,0.6571061839879988,2.414215312317447,spectral
131000,廊坊,河北,Q3,-0.1,0.7,0.6188727136606786,2.0146128980272904,1.444856665736527,2.9298915349980303,0.6359506504896251,2.0895112586519997,1.5063380303170335,3.0428073702700065,1.4671690876771744,0.8907043573643099,0.0660612115678434,0.6188727136606786,3.0428073702700065,thermal
140100,太原,山西,Q3,-0.1,0.7,0.629880392186255,1.7171486237041569,1.4751522175893594,2.650309212063995,0.6463883090736644,1.796304272733007,1.5371074445902355,2.768580329762904,1.1604258652525197,0.9098292481237352,0.0684448242003939,0.629880392186255,2.768580329762904,thermal
140400,长治,山西,Q3,-0.1,0.7,0.6470431331291548,1.752459830820885,1.5494234686742825,2.752532570618893,0.6646129806847867,1.8381839619647344,1.6188006419069367,2.88257557902285,1.185843892139974,0.974634051037774,0.0750545027159469,0.6470431331291548,2.88257557902285,thermal
140700,晋中,山西,Q3,-0.1,0.7,0.6359704189118576,1.844297430003139,1.5208225288537711,2.823172379719807,0.6528468835818924,1.9248254612100668,1.5854146646689935,2.9434513553195263,1.2845093053296397,0.9530664564844192,0.0699051745936096,0.6359704189118576,2.9434513553195263,thermal
130600,保定,河北,Q3,-0.1,0.7,0.6179707087958786,2.224392522957297,1.4466965960922895,3.1596928246658385,0.6352407701449625,2.3104929905110927,1.5111193316133864,3.286632762693964,1.6920198232372785,0.9034850303559216,0.0731572003048852,0.6179707087958786,3.286632762693964,thermal
610600,延安,陕西,Q3,-0.1,0.7,0.6474149975359333,1.702006037915016,1.555538250882993,2.705832011072884,0.663243832172844,1.786695998533161,1.6164223341788686,2.836015495450961,1.1370190549754262,0.9786483292822684,0.0729331136573326,0.6474149975359333,2.836015495450961,thermal
621000,庆阳,甘肃,Q3,-0.1,0.7,0.6476304368506547,1.4288584226924472,1.546355298758062,2.4137568002110754,0.6640339693799069,1.510897804877409,1.604240187958772,2.5382585465630214,0.8574596709737665,0.9628793005472552,0.0702891381913447,0.6476304368506547,2.5382585465630214,spectral
610500,渭南,陕西,Q3,-0.1,0.7,0.6631001382226165,2.715362480451944,1.6497339569135017,3.84129133053126,0.6791576540871702,2.8214792117224,1.7126986586645243,3.993419432587597,2.166640860592965,1.0794363222948058,0.0842421114772099,0.6631001382226165,3.993419432587597,thermal
371600,滨州,山东,Q3,-0.1,0.7,0.6433672554208902,1.986800050643045,1.5618385931232437,2.982447263709842,0.6612569492871145,2.0561716201201063,1.623867587879424,3.0912369499482617,1.406187942666929,0.9775551977866872,0.0641265540737549,0.6433672554208902,3.0912369499482617,thermal
130700,张家口,河北,Q3,-0.1,0.7,0.5965489050921757,1.3708312977200876,1.333563386942882,2.182474259047562,0.6135335801631614,1.4356013045159657,1.3939667508632736,2.285268578057953,0.8336911726837777,0.794239940468829,0.0607885598131704,0.5965489050921757,2.285268578057953,thermal
