adcode,city,province,ghi_kwh_m2,ghi_quartile,plot_order
622900,临夏,甘肃,1720.7082615352963,Q4,293
513200,阿坝,四川,1721.800817961169,Q4,294
623000,甘南,甘肃,1723.0518331952014,Q4,295
532300,楚雄,云南,1726.4524192694307,Q4,296
460100,海口,海南,1729.5477110072948,Q4,297
620100,兰州,甘肃,1730.230164312344,Q4,298
150600,鄂尔多斯,内蒙古,1738.9011457240972,Q4,299
630200,海东,青海,1739.975441249631,Q4,300
640300,吴忠,宁夏,1741.5685728546343,Q4,301
640500,中卫,宁夏,1746.293303567719,Q4,302
460200,三亚,海南,1748.878249824419,Q4,303
533400,迪庆,云南,1754.018633532388,Q4,304
540400,林芝,西藏,1764.6343947415078,Q4,305
640100,银川,宁夏,1765.5245672958563,Q4,306
640200,石嘴山,宁夏,1775.2065526808815,Q4,307
150800,巴彦淖尔,内蒙古,1775.7115739797998,Q4,308
650500,哈密,新疆,1783.077284360746,Q4,309
150300,乌海,内蒙古,1786.054096938852,Q4,310
650400,吐鲁番,新疆,1794.042951836877,Q4,311
632300,黄南,青海,1800.3166454676316,Q4,312
620600,武威,甘肃,1808.654673383921,Q4,313
652900,阿克苏,新疆,1820.722839935808,Q4,314
620300,金昌,甘肃,1827.3398885846727,Q4,315
620200,嘉峪关,甘肃,1830.0216693078248,Q4,316
630100,西宁,青海,1830.6123241304344,Q4,317
152900,阿拉善,内蒙古,1831.5932624804564,Q4,318
620700,张掖,甘肃,1858.616300863288,Q4,319
632200,海北,青海,1887.308590301453,Q4,320
632500,海南,青海,1890.341838123329,Q4,321
513300,甘孜,四川,1899.2810450757147,Q4,322
620900,酒泉,甘肃,1907.189216747464,Q4,323
652800,巴州,新疆,1920.102951953913,Q4,324
653000,克州,新疆,1937.829308632011,Q4,325
460300,三沙,海南,1948.7531,Q4,326
632600,果洛,青海,1967.8519499960364,Q4,327
653100,喀什,新疆,1977.9295181784787,Q4,328
540300,昌都,西藏,2009.5229632036617,Q4,329
653200,和田,新疆,2011.4327871732903,Q4,330
632800,海西,青海,2026.3769775995745,Q4,331
632700,玉树,青海,2054.165154014336,Q4,332
540500,山南,西藏,2058.101860696296,Q4,333
540600,那曲,西藏,2159.922104107574,Q4,334
540100,拉萨,西藏,2165.039789924765,Q4,335
540200,日喀则,西藏,2206.438504917948,Q4,336
542500,阿里,西藏,2246.833924968453,Q4,337
