adcode,city,ghi_quartile,advantage_t1_s1_i1_pct,advantage_t0_s1_i1_pct,advantage_t1_s0_i1_pct,advantage_t0_s0_i0_pct,plot_order
450400,梧州,Q2,5.027239709347242,2.4993727033483903,3.270130217979239,0.8596013015694792,101
220200,吉林,Q2,1.3302159750838705,1.399479962139516,0.5777836032454298,0.6516027212516651,102
421200,咸宁,Q2,4.516473652499431,2.2478258917471683,2.9356077265168867,0.7816417283289523,103
341800,宣城,Q2,4.136036464578474,2.13886821148368,2.64667289712186,0.7581778405888473,104
440600,佛山,Q2,5.192600516485668,2.580984461471325,3.390846009163284,0.8708538150255851,105
220500,通化,Q2,1.431900625449689,1.4971465378558868,0.5993041872002447,0.6641150424922415,106
611000,商洛,Q2,3.733995377708932,2.0337768652787025,2.354432364428538,0.7646111716045789,107
330500,湖州,Q2,3.954474875015923,2.1591098970313416,2.4673940027013286,0.7658683106849917,108
340500,马鞍山,Q2,3.5307053397803934,2.0267465952376496,2.1542583660311587,0.7413261000265736,109
350800,龙岩,Q2,4.980883217494725,2.449876835321252,3.246418370621762,0.8388484428769161,110
610300,宝鸡,Q2,3.491043408725414,1.9644480871000791,2.1862587982716786,0.7590443192823093,111
421100,黄冈,Q2,4.082805211968976,2.165170351319268,2.580211596832682,0.7637574421389459,112
340800,安庆,Q2,4.096623310629166,2.154449100923017,2.591530821909238,0.7580471037534453,113
445300,云浮,Q2,5.17796551801275,2.5669628225441388,3.373681738426093,0.8650139871835938,114
230600,大庆,Q2,0.8809459242627771,1.218179201236835,0.2803509927255643,0.6200696590604071,115
411500,信阳,Q2,3.85386229295468,2.104324314310313,2.4011290765643567,0.7523398386873881,116
420600,襄阳,Q2,3.964438267730963,2.0722185044962598,2.526818310836143,0.7494961864545235,117
210400,抚顺,Q2,1.6168490201640573,1.499452637229748,0.7666033110990567,0.6565878818195925,118
441400,梅州,Q2,5.04279860360326,2.5004416395739693,3.281238615616755,0.8473681301047975,119
360400,九江,Q2,4.349592425924587,2.2280084976388226,2.7846660886423624,0.7711553787645764,120
440700,江门,Q2,5.228223916217289,2.6495485117941757,3.3748288304543683,0.8796614956549043,121
620500,天水,Q2,2.377007930331021,1.837468734571801,1.2014615331487732,0.730015853608057,122
