context,strategy,share,before_viable,after_viable,new_viable,before_si,after_si,before_sj,after_sj,before_t,after_t,switches,before_npv_usd,after_npv_usd,private_gain_usd,direct_support_usd,admin_usd,total_public_usd,additional_discounted_mwh,new_support_usd,switch_support_usd,same_support_usd
cap,Matched gap,0.021,258,269,11,123,139,135,130,0,0,16,30615326.90499036,30615353.90499036,27.0,75643.70183823834,3782.185091911917,79425.88693015026,193696.86540561257,43984.680547857955,31659.021290380384,0.0
cap,General,0.022,258,270,12,123,139,135,131,0,0,16,30615326.90499036,33349462.77845804,2734135.873467682,2818190.8766294857,140909.5438314743,2959100.4204609604,208517.28046268134,101640.0,196675.78436022866,2519875.0922692576
cap,New technology,0.022,258,270,12,123,89,135,181,0,0,34,30615326.90499036,31940040.799107715,1324713.8941173577,1533070.0,76653.5,1609723.5,110902.92645768734,101640.0,287980.0,1143450.0
cap,Matched gap,0.022,258,270,12,123,139,135,131,0,0,16,30615326.90499036,30615354.90499036,28.0,84083.0031618044,4204.15015809022,88287.15331989463,208517.28046268134,52423.98187142402,31659.021290380384,0.0
cap,General,0.023,258,270,12,123,139,135,131,0,0,16,30615326.90499036,33477562.36375938,2862235.4587690225,2946290.4619308272,147314.52309654138,3093604.9850273686,208517.28046268134,106260.0,205615.59274023908,2634414.8691905877
cap,New technology,0.023,258,270,12,123,87,135,183,0,0,36,30615326.90499036,32009791.666417018,1394464.7614266572,1620465.0,81023.25,1701488.25,106681.55008294091,106260.0,318780.0,1195425.0
cap,Matched gap,0.023,258,270,12,123,139,135,131,0,0,16,30615326.90499036,30615354.90499036,28.0,84083.0031618044,4204.15015809022,88287.15331989463,208517.28046268134,52423.98187142402,31659.021290380384,0.0
cap,General,0.024,258,270,12,123,140,135,130,0,0,17,30615326.90499036,33605714.68367904,2990387.7786886804,3078559.759802182,153927.9879901091,3232487.7477922915,210304.49254262832,110880.0,227965.11369026508,2739714.6461119177
cap,New technology,0.024,258,270,12,123,81,135,189,0,0,42,30615326.90499036,32081599.812671907,1466272.9076815532,1746360.0,87318.0,1833678.0,93988.55956687656,110880.0,388080.0,1247400.0
cap,Matched gap,0.024,258,270,12,123,140,135,130,0,0,17,30615326.90499036,30615355.90499036,29.0,88200.98111350366,4410.049055675183,92611.03016917885,210304.49254262832,52423.98187142402,35776.99924207964,0.0
cap,General,0.025,258,270,12,123,141,135,129,0,0,18,30615326.90499036,33734065.11269581,3118738.2077054596,3211176.5337210405,160558.82668605202,3371735.3604070926,212087.97044881587,115500.0,251432.11068779233,2844244.4230332477
cap,New technology,0.025,258,270,12,123,80,135,190,0,0,43,30615326.90499036,32154651.624009207,1539324.7190188481,1828750.0,91437.5,1920187.5,91864.96832156947,115500.0,413875.0,1299375.0
cap,Matched gap,0.025,258,270,12,123,141,135,129,0,0,18,30615326.90499036,30615356.90499036,30.0,92468.32601557951,4623.416300778976,97091.74231635849,212087.97044881587,52423.98187142402,40044.344144155475,0.0
cap,General,0.026000000000000002,258,270,12,123,141,135,129,0,0,18,30615326.90499036,33862512.17404466,3247185.269054302,3339623.5950698815,166981.1797534941,3506604.774823376,212087.97044881587,120120.0,261489.39511530407,2958014.1999545777
cap,New technology,0.026000000000000002,258,270,12,123,77,135,193,0,0,46,30615326.90499036,32228579.981518425,1613253.0765280672,1931930.0,96596.5,2028526.5,85463.26767308156,120120.0,460460.0,1351350.0
