case,context,strategy,share,admin_fraction,before_viable,after_viable,after_si,after_sj,after_t,direct_support_usd,total_public_usd,private_gain_usd,additional_discounted_mwh
Discount3%,area,Matched gap,0.1,0.05,337,337,55,0,282,904693.5254209939,949928.2016920437,56.0,252155.47706244094
Discount3%,area,Matched gap,0.1,0.1,337,337,55,0,282,904693.5254209939,995162.8779630933,56.0,252155.47706244094
Discount3%,area,General,0.2,0.0,337,337,31,0,306,72116193.89638536,72116193.89638536,70188125.66716743,352275.4987493522
Discount3%,area,General,0.2,0.05,337,337,31,0,306,72116193.89638536,75722003.59120463,70188125.66716743,352275.4987493522
Discount3%,area,General,0.2,0.1,337,337,31,0,306,72116193.89638536,79327813.2860239,70188125.66716743,352275.4987493522
Discount3%,area,New technology,0.2,0.0,337,337,0,0,337,73966446.45924668,73966446.45924668,69581557.29313102,467411.0732887789
Discount3%,area,New technology,0.2,0.05,337,337,0,0,337,73966446.45924668,77664768.78220902,69581557.29313102,467411.0732887789
Discount3%,area,New technology,0.2,0.1,337,337,0,0,337,73966446.45924668,81363091.10517135,69581557.29313102,467411.0732887789
Discount3%,area,Matched gap,0.2,0.0,337,337,31,0,306,1928148.2292179298,1928148.2292179298,80.0,352275.4987493522
Discount3%,area,Matched gap,0.2,0.05,337,337,31,0,306,1928148.2292179298,2024555.6406788263,80.0,352275.4987493522
Discount3%,area,Matched gap,0.2,0.1,337,337,31,0,306,1928148.2292179298,2120963.0521397227,80.0,352275.4987493522
Discount3%,area,General,0.3,0.0,337,337,9,0,328,110143914.5405272,110143914.5405272,106674466.97135064,436511.75369387807
Discount3%,area,General,0.3,0.05,337,337,9,0,328,110143914.5405272,115651110.26755355,106674466.97135064,436511.75369387807
Discount3%,area,General,0.3,0.1,337,337,9,0,328,110143914.5405272,121158305.99457993,106674466.97135064,436511.75369387807
Discount3%,area,New technology,0.3,0.0,337,337,0,0,337,110949669.68887003,110949669.68887003,106564780.52275437,467411.0732887789
Discount3%,area,New technology,0.3,0.05,337,337,0,0,337,110949669.68887003,116497153.17331353,106564780.52275437,467411.0732887789
Discount3%,area,New technology,0.3,0.1,337,337,0,0,337,110949669.68887003,122044636.65775704,106564780.52275437,467411.0732887789
Discount3%,area,Matched gap,0.3,0.0,337,337,9,0,328,3469549.569176539,3469549.569176539,102.0,436511.75369387807
Discount3%,area,Matched gap,0.3,0.05,337,337,9,0,328,3469549.569176539,3643027.0476353657,102.0,436511.75369387807
Discount3%,area,Matched gap,0.3,0.1,337,337,9,0,328,3469549.569176539,3816504.526094193,102.0,436511.75369387807
Discount8%,cap,General,0.1,0.0,176,228,0,228,0,8778000.0,8778000.0,7807136.039449403,652043.1526388713
Discount8%,cap,General,0.1,0.05,176,228,0,228,0,8778000.0,9216900.0,7807136.039449403,652043.1526388713
Discount8%,cap,General,0.1,0.1,176,228,0,228,0,8778000.0,9655800.0,7807136.039449403,652043.1526388713
Discount8%,cap,New technology,0.1,0.0,176,228,0,228,0,8778000.0,8778000.0,7807136.039449403,652043.1526388713
Discount8%,cap,New technology,0.1,0.05,176,228,0,228,0,8778000.0,9216900.0,7807136.039449403,652043.1526388713
Discount8%,cap,New technology,0.1,0.1,176,228,0,228,0,8778000.0,9655800.0,7807136.039449403,652043.1526388713
Discount8%,cap,Matched gap,0.1,0.0,176,228,0,228,0,970915.9605505975,970915.9605505975,52.0,652043.1526388713
Discount8%,cap,Matched gap,0.1,0.05,176,228,0,228,0,970915.9605505975,1019461.7585781275,52.0,652043.1526388713
Discount8%,cap,Matched gap,0.1,0.1,176,228,0,228,0,970915.9605505975,1068007.5566056573,52.0,652043.1526388713
Discount8%,cap,General,0.2,0.0,176,284,0,284,0,21868000.0,21868000.0,17661157.69134138,1299482.6572543946
Discount8%,cap,General,0.2,0.05,176,284,0,284,0,21868000.0,22961400.0,17661157.69134138,1299482.6572543946
Discount8%,cap,General,0.2,0.1,176,284,0,284,0,21868000.0,24054800.000000004,17661157.69134138,1299482.6572543946
Discount8%,cap,New technology,0.2,0.0,176,284,0,284,0,21868000.0,21868000.0,17661157.69134138,1299482.6572543946
Discount8%,cap,New technology,0.2,0.05,176,284,0,284,0,21868000.0,22961400.0,17661157.69134138,1299482.6572543946
Discount8%,cap,New technology,0.2,0.1,176,284,0,284,0,21868000.0,24054800.000000004,17661157.69134138,1299482.6572543946
Discount8%,cap,Matched gap,0.2,0.0,176,284,0,284,0,4206950.3086586185,4206950.3086586185,108.0,1299482.6572543946
Discount8%,cap,Matched gap,0.2,0.05,176,284,0,284,0,4206950.3086586185,4417297.82409155,108.0,1299482.6572543946
Discount8%,cap,Matched gap,0.2,0.1,176,284,0,284,0,4206950.3086586185,4627645.3395244805,108.0,1299482.6572543946
Discount8%,cap,General,0.3,0.0,176,307,3,304,0,35614864.221375585,35614864.221375585,29104307.657207508,1550626.1647464351
Discount8%,cap,General,0.3,0.05,176,307,3,304,0,35614864.221375585,37395607.432444364,29104307.657207508,1550626.1647464351
Discount8%,cap,General,0.3,0.1,176,307,3,304,0,35614864.221375585,39176350.64351314,29104307.657207508,1550626.1647464351
Discount8%,cap,New technology,0.3,0.0,176,307,0,307,0,35458500.0,35458500.0,29098829.358266514,1544801.1660046503
Discount8%,cap,New technology,0.3,0.05,176,307,0,307,0,35458500.0,37231425.0,29098829.358266514,1544801.1660046503
Discount8%,cap,New technology,0.3,0.1,176,307,0,307,0,35458500.0,39004350.0,29098829.358266514,1544801.1660046503
Discount8%,cap,Matched gap,0.3,0.0,176,307,3,304,0,6510690.564168076,6510690.564168076,134.0,1550626.1647464351
