sj_degradation,relative_sj_yield_change,replacement_rule,before_viable,after_viable,new_projects,switches,discounted_mwh,undiscounted_mwh,entry_discounted_mwh,switch_discounted_mwh,entry_undiscounted_mwh,switch_undiscounted_mwh,public_usd,private_npv_gain_usd,after_si,after_sj,after_t,counterexample_discounted,counterexample_physical
0.01505,-0.05,half,312,336,24,141,-153999.08674114814,-291699.72761473374,282707.5382700189,-436706.625011167,493122.12094357295,-784821.8485583067,27165600.0,22760537.10318722,0,336,0,True,True
0.01505,-0.05,salvage,328,337,9,17,39994.00353703175,66719.21964834731,99223.56781995686,-59229.56428292513,173074.0415002034,-106354.8218518561,27246450.0,25599753.801521216,0,337,0,False,False
0.01505,-0.05,stop_option,329,337,8,110,-443390.79722901306,-1050175.1303251903,79998.39091541765,-523389.1881444307,128767.30064003999,-1178942.4309652303,27246450.0,24299810.692766,0,337,0,True,True
0.01505,-0.0475,full,298,319,21,212,-213130.52819229488,-411028.005241791,265499.2818080587,-478629.8100003535,463106.0415132542,-874134.0467550452,19903188.81255936,4972219.054596509,86,209,24,True,True
0.01505,-0.0475,half,312,336,24,137,-135986.07621296728,-259667.37260037474,283451.5054759927,-419437.58168895985,494419.81073552975,-754087.1833359045,27165600.0,23055830.17678668,0,336,0,True,True
0.01505,-0.0475,salvage,328,337,9,12,57724.23941510846,98508.08712428101,99484.68247211467,-41760.443057006196,173529.49950415135,-75021.41237987031,27246450.0,25638666.79870238,0,337,0,False,False
0.01505,-0.0475,stop_option,329,337,8,103,-407495.05539477675,-971919.1693472719,80208.91299677402,-487703.9683915507,129106.16195751377,-1101025.331304786,27246450.0,24494792.380798526,0,337,0,True,True
0.01505,-0.045,full,298,319,21,216,-220361.3217908529,-422300.71317698207,266196.13031674124,-486557.4521075941,464321.54293454875,-886622.2561115308,20004684.89327616,5317526.305956106,82,218,19,True,True
0.01505,-0.045,half,313,336,23,130,-122713.36998381879,-235424.89603276606,271742.0853867391,-394455.45537055796,473995.26137697324,-709420.1574097394,27165600.0,23340122.377259046,0,336,0,True,True
0.01505,-0.045,salvage,329,337,8,8,60174.81152269283,103497.01907470307,87992.6910876201,-27817.879564927272,153484.20746820065,-49987.18839349757,27246450.0,25670231.89142585,0,337,0,False,False
0.01505,-0.045,stop_option,330,337,7,94,-373735.0799968417,-891304.4272576235,69739.67653919762,-443474.75653603935,112254.63153323627,-1003559.0587908598,27246450.0,24676390.06402517,0,337,0,True,True
0.01505,-0.0425,full,298,320,22,222,-219957.72482091593,-420975.62969353946,279107.79747858515,-499065.5222995011,486843.1521379254,-907818.7818314645,20393111.757849604,5677790.2046834435,76,229,15,True,True
0.01505,-0.0425,half,314,336,22,124,-112457.19935617913,-216601.54206984822,259992.3897090054,-372449.5890651846,453500.45997018664,-670102.002040035,27165600.0,23610059.990553007,0,336,0,True,True
0.01505,-0.0425,salvage,329,337,8,5,70814.98302658214,122600.40285054182,88223.03844648821,-17408.05541990608,153885.99858722734,-31285.595736685522,27246450.0,25693660.888816282,0,337,0,False,False
0.01505,-0.0425,stop_option,330,337,7,89,-347334.8601852498,-834227.6820949478,69922.24113746778,-417257.1013227176,112548.4918252081,-946776.173920156,27246450.0,24846078.866962466,0,337,0,True,True
0.01505,-0.04,full,298,320,22,231,-239045.07648204474,-454548.6470530528,279836.5384641689,-518881.61494621367,488114.2830834552,-942662.930136508,20987619.40627968,6059798.825506834,67,241,12,True,True
