sj_degradation,relative_sj_yield_change,replacement_rule,before_viable,after_viable,new_projects,switches,discounted_mwh,undiscounted_mwh,entry_discounted_mwh,switch_discounted_mwh,entry_undiscounted_mwh,switch_undiscounted_mwh,public_usd,private_npv_gain_usd,after_si,after_sj,after_t,counterexample_discounted,counterexample_physical
0.005,-0.065,salvage,333,337,4,0,44794.15223299202,79004.89280814501,44794.152232992026,0.0,79004.89280814501,0.0,27246450.0,25861648.65422523,0,337,0,False,False
0.005,-0.065,stop_option,333,337,4,0,41175.822970251575,67514.17502920397,41175.822970251575,0.0,67514.17502920397,0.0,27246450.0,25889734.324983194,0,337,0,False,False
0.005,-0.0625,full,298,330,32,298,-48190.845334425976,-18014.59593990806,421364.7619902054,-469555.6073246313,743174.6376404657,-761189.2335803739,26680500.0,16988494.007408705,0,330,0,True,True
0.005,-0.0625,half,329,337,8,0,93192.98537647899,164367.47774226058,93192.98537647899,0.0,164367.47774226058,0.0,27246450.0,25696464.93921878,0,337,0,False,False
0.005,-0.0625,salvage,333,337,4,0,44913.922693508044,79216.1358370438,44913.922693508044,0.0,79216.13583704381,0.0,27246450.0,25866439.47264587,0,337,0,False,False
0.005,-0.0625,stop_option,333,337,4,0,41285.91875359449,67694.69421377403,41285.91875359449,0.0,67694.69421377403,0.0,27246450.0,25894138.15631691,0,337,0,False,False
0.005,-0.06,full,298,330,32,292,-27356.576556428656,17651.936837986577,422488.40135551256,-449844.9779119411,745156.4366741737,-727504.4998361872,26680500.0,17588610.858449157,0,330,0,True,False
0.005,-0.06,half,329,337,8,0,93441.5000041496,164805.79101623996,93441.5000041496,0.0,164805.79101623996,0.0,27246450.0,25706405.524325605,0,337,0,False,False
0.005,-0.06,salvage,333,337,4,0,45033.69315402406,79427.37886594258,45033.69315402406,0.0,79427.37886594258,0.0,27246450.0,25871230.29106651,0,337,0,False,False
0.005,-0.06,stop_option,333,337,4,0,41396.01453693741,67875.21339834407,41396.01453693741,0.0,67875.21339834407,0.0,27246450.0,25898541.98765063,0,337,0,False,False
0.005,-0.0575,full,298,330,32,280,-1021.5872679245367,61846.63346897933,423612.0407208198,-424633.6279887443,747138.2357078817,-685291.6022389024,26680500.0,18175502.629830427,0,330,0,True,False
0.005,-0.0575,half,330,337,7,0,81247.91362968297,143299.56896629877,81247.91362968297,0.0,143299.5689662988,0.0,27246450.0,25716193.878826987,0,337,0,False,False
0.005,-0.0575,salvage,333,337,4,0,45153.46361454009,79638.62189484136,45153.46361454009,0.0,79638.62189484136,0.0,27246450.0,25876021.109487154,0,337,0,False,False
