amplitude,context,om,policy,adcode,baseline_choice,choice_certified,viability_certified,nonviability_certified
0.01,cap,proportional,General20,130800,0,True,True,False
0.01,cap,proportional,General20,130900,0,True,True,False
0.01,cap,proportional,General20,131000,0,True,True,False
0.01,cap,proportional,General20,131100,0,True,True,False
0.01,cap,proportional,General20,140100,0,True,True,False
0.01,cap,proportional,General20,140200,0,True,True,False
0.01,cap,proportional,General20,140300,0,True,True,False
0.01,cap,proportional,General20,140400,0,True,True,False
0.01,cap,proportional,General20,140500,0,True,True,False
0.01,cap,proportional,General20,140600,0,True,True,False
0.01,cap,proportional,General20,140700,0,True,True,False
0.01,cap,proportional,General20,140800,0,True,True,False
0.01,cap,proportional,General20,140900,0,True,True,False
0.01,cap,proportional,General20,141000,0,True,True,False
0.01,cap,proportional,General20,141100,0,True,True,False
0.01,cap,proportional,General20,150100,0,True,True,False
0.01,cap,proportional,General20,150200,0,True,True,False
0.01,cap,proportional,General20,150300,0,True,True,False
0.01,cap,proportional,General20,150400,0,True,True,False
0.01,cap,proportional,General20,150500,0,True,True,False
0.01,cap,proportional,General20,150600,0,True,True,False
0.01,cap,proportional,General20,150700,0,True,True,False
0.01,cap,proportional,General20,150800,0,True,True,False
0.01,cap,proportional,General20,150900,0,True,True,False
0.01,cap,proportional,General20,152200,0,True,True,False
0.01,cap,proportional,General20,152500,0,True,True,False
0.01,cap,proportional,General20,152900,0,True,True,False
0.01,cap,proportional,General20,210100,0,True,True,False
0.01,cap,proportional,General20,210200,0,True,True,False
0.01,cap,proportional,General20,210300,0,True,True,False
0.01,cap,proportional,General20,210400,0,True,True,False
0.01,cap,proportional,General20,210500,0,True,True,False
0.01,cap,proportional,General20,210600,0,True,True,False
0.01,cap,proportional,General20,210700,0,True,True,False
0.01,cap,proportional,General20,210800,0,True,True,False
0.01,cap,proportional,General20,210900,0,True,True,False
0.01,cap,proportional,General20,211000,0,True,True,False
0.01,cap,proportional,General20,211100,0,True,True,False
0.01,cap,proportional,General20,211200,0,True,True,False
0.01,cap,proportional,General20,211300,0,True,True,False
0.01,cap,proportional,General20,211400,0,True,True,False
0.01,cap,proportional,General20,220100,0,True,True,False
0.01,cap,proportional,General20,220200,0,True,True,False
0.01,cap,proportional,General20,220300,0,True,True,False
0.01,cap,proportional,General20,220400,0,True,True,False
0.01,cap,proportional,General20,220500,0,True,True,False
0.01,cap,proportional,General20,220600,0,True,True,False
0.01,cap,proportional,General20,220700,0,True,True,False
0.01,cap,proportional,General20,220800,0,True,True,False
0.01,cap,proportional,General20,222400,0,True,True,False
0.01,cap,proportional,General20,230100,0,True,True,False
0.01,cap,proportional,General20,230200,0,True,True,False
0.01,cap,proportional,General20,230300,0,True,True,False
0.01,cap,proportional,General20,230400,0,True,True,False
0.01,cap,proportional,General20,230500,0,True,True,False
0.01,cap,proportional,General20,230600,0,True,True,False
0.01,cap,proportional,General20,230700,0,True,True,False
0.01,cap,proportional,General20,230800,0,True,True,False
0.01,cap,proportional,General20,230900,0,True,True,False
0.01,cap,proportional,General20,231000,0,True,True,False
0.01,cap,proportional,General20,231100,0,True,True,False
0.01,cap,proportional,General20,231200,0,True,True,False
0.01,cap,proportional,General20,232700,0,True,True,False
0.01,cap,proportional,General20,310000,0,True,True,False
0.01,cap,proportional,General20,320100,0,True,True,False
0.01,cap,proportional,General20,320200,0,True,True,False
0.01,cap,proportional,General20,320300,0,True,True,False
0.01,cap,proportional,General20,320400,0,True,True,False
0.01,cap,proportional,General20,320500,0,True,True,False
0.01,cap,proportional,General20,320600,0,True,True,False
0.01,cap,proportional,General20,320700,0,True,True,False
0.01,cap,proportional,General20,320800,0,True,True,False
0.01,cap,proportional,General20,320900,0,True,True,False
0.01,cap,proportional,General20,321000,0,True,True,False
0.01,cap,proportional,General20,321100,0,True,True,False
0.01,cap,proportional,General20,321200,0,True,True,False
0.01,cap,proportional,General20,321300,0,True,True,False
