tcell_c,airmass,predicted_advantage_pct
5.5,2.36,-2.7630360309749227
5.5,2.38,-2.7981781650149142
5.5,2.4,-2.833320299054906
5.5,2.42,-2.868462433094898
5.5,2.44,-2.90360456713489
5.5,2.46,-2.9387467011748813
5.5,2.48,-2.973888835214873
5.5,2.5,-3.009030969254865
5.5,2.5199999999999996,-3.044173103294856
5.5,2.54,-3.079315237334848
5.5,2.5599999999999996,-3.114457371374839
5.5,2.58,-3.149599505414832
5.5,2.5999999999999996,-3.184741639454823
5.5,2.62,-3.219883773494815
5.5,2.6399999999999997,-3.2550259075348063
5.5,2.66,-3.290168041574799
5.5,2.6799999999999997,-3.32531017561479
5.5,2.6999999999999997,-3.3604523096547814
5.5,2.7199999999999998,-3.3955944436947734
5.5,2.7399999999999998,-3.4307365777347654
5.5,2.76,-3.465878711774757
5.5,2.78,-3.5010208458147485
5.5,2.8,-3.5361629798547405
6.0,1.1,-0.45632593035742325
6.0,1.12,-0.4914680643974148
6.0,1.1400000000000001,-0.5266101984374065
6.0,1.1600000000000001,-0.5617523324773983
6.0,1.1800000000000002,-0.5968944665173901
6.0,1.2000000000000002,-0.6320366005573819
6.0,1.22,-0.6671787345973733
6.0,1.24,-0.702320868637365
6.0,1.26,-0.7374630026773568
6.0,1.28,-0.7726051367173485
6.0,1.3,-0.8077472707573403
6.0,1.32,-0.8428894047973321
6.0,1.34,-0.8780315388373239
6.0,1.36,-0.9131736728773157
6.0,1.3800000000000001,-0.9483158069173072
6.0,1.4,-0.9834579409572988
6.0,1.42,-1.0186000749972905
6.0,1.44,-1.0537422090372823
6.0,1.46,-1.0888843430772739
6.0,1.48,-1.1240264771172659
6.0,1.5,-1.1591686111572574
6.0,1.52,-1.1943107451972492
6.0,1.54,-1.229452879237241
6.0,1.56,-1.2645950132772328
6.0,1.58,-1.2997371473172246
6.0,1.6,-1.3348792813572163
6.0,1.62,-1.3700214153972081
6.0,1.6400000000000001,-1.4051635494372
6.0,1.6600000000000001,-1.4403056834771917
6.0,1.6800000000000002,-1.4754478175171835
6.0,1.7,-1.5105899515571748
6.0,1.72,-1.5457320855971666
6.0,1.74,-1.5808742196371584
6.0,1.76,-1.6160163536771501
6.0,1.78,-1.651158487717142
6.0,1.7999999999999998,-1.6863006217571332
6.0,1.8199999999999998,-1.721442755797125
6.0,1.8399999999999999,-1.7565848898371168
6.0,1.8599999999999999,-1.7917270238771086
6.0,1.88,-1.8268691579171001
6.0,1.9,-1.862011291957092
6.0,1.92,-1.8971534259970837
6.0,1.94,-1.9322955600370757
6.0,1.96,-1.9674376940770673
6.0,1.98,-2.0025798281170593
6.0,2.0,-2.037721962157051
6.0,2.02,-2.0728640961970424
6.0,2.04,-2.1080062302370344
6.0,2.06,-2.143148364277026
6.0,2.08,-2.178290498317018
6.0,2.1,-2.2134326323570095
6.0,2.12,-2.2485747663970015
6.0,2.1399999999999997,-2.2837169004369926
6.0,2.16,-2.318859034476985
6.0,2.1799999999999997,-2.3540011685169757
6.0,2.2,-2.3891433025569686
6.0,2.2199999999999998,-2.4242854365969593
6.0,2.24,-2.4594275706369517
6.0,2.26,-2.494569704676943
6.0,2.28,-2.529711838716935
6.0,2.3,-2.5648539727569264
6.0,2.32,-2.599996106796918
6.0,2.34,-2.63513824083691
6.0,2.36,-2.670280374876902
6.0,2.38,-2.7054225089168935
6.0,2.4,-2.740564642956885
6.0,2.42,-2.775706776996877
6.0,2.44,-2.810848911036869
6.0,2.46,-2.8459910450768606
6.0,2.48,-2.881133179116852
6.0,2.5,-2.916275313156844
6.0,2.5199999999999996,-2.9514174471968353
6.0,2.54,-2.9865595812368273
6.0,2.5599999999999996,-3.0217017152768184
6.0,2.58,-3.0568438493168113
6.0,2.5999999999999996,-3.0919859833568024
6.0,2.62,-3.1271281173967944
6.0,2.6399999999999997,-3.1622702514367855
6.0,2.66,-3.1974123854767784
6.0,2.6799999999999997,-3.232554519516769
6.0,2.6999999999999997,-3.2676966535567606
6.0,2.7199999999999998,-3.3028387875967526
6.0,2.7399999999999998,-3.3379809216367446
6.0,2.76,-3.373123055676736
6.0,2.78,-3.4082651897167278
6.0,2.8,-3.4434073237567198
6.5,1.1,-0.3635702742594021
6.5,1.12,-0.39871240829939364
6.5,1.1400000000000001,-0.4338545423393854
6.5,1.1600000000000001,-0.4689966763793772
6.5,1.1800000000000002,-0.5041388104193689
6.5,1.2000000000000002,-0.5392809444593607
6.5,1.22,-0.5744230784993521
6.5,1.24,-0.6095652125393438
6.5,1.26,-0.6447073465793356
6.5,1.28,-0.6798494806193274
6.5,1.3,-0.7149916146593192
6.5,1.32,-0.7501337486993109
6.5,1.34,-0.7852758827393027
