province,city,key,lat,lon,alt,region,res_band,tech,code,kwp,yield_kwh_per_kwp,yield_kwh_per_m2,PR,tcell_weighted,spectral_factor_w,ghi_kwh_m2,tair_mean,pv_2024_gw
吉林,长春,changchun,43.82,125.32,220,东北,III,钙钛矿,perovskite,5.632816774063653,1682.2455617360256,324.4774893929712,0.8652778150460358,22.445653512055554,1.002939624626861,1525.0411,5.7438801369862995,5.836102037659497
吉林,长春,changchun,43.82,125.32,220,东北,III,叠层,tandem,8.267993754733086,1673.0365936752135,473.6691906348132,0.8605411012488746,22.445653512055554,0.992393280156013,1525.0411,5.7438801369862995,5.836102037659497
江苏,南京,nanjing,32.05,118.79,20,华东,III,晶硅,c-Si,6.424718594113602,1367.5773608493341,300.8677028249481,0.8303364378159217,33.56172996253346,0.9893669548254045,1456.4179,16.26455479452055,61.711523553275306
江苏,南京,nanjing,32.05,118.79,20,华东,III,钙钛矿,perovskite,5.632816774063653,1414.520644950285,272.83775805854503,0.8588384592851545,33.56172996253346,1.0046711739360499,1456.4179,16.26455479452055,61.711523553275306
江苏,南京,nanjing,32.05,118.79,20,华东,III,叠层,tandem,8.267993754733086,1380.7345957311536,390.91281141960775,0.8383249669156522,33.56172996253346,0.9893669548254047,1456.4179,16.26455479452055,61.711523553275306
浙江,杭州,hangzhou,30.27,120.15,10,华东,III,晶硅,c-Si,6.424718594113602,1148.2027874602722,252.6051870483056,0.8220996936375753,34.766209310031456,0.9886610233718659,1277.5606,16.988216894977167,47.32448093144987
浙江,杭州,hangzhou,30.27,120.15,10,华东,III,钙钛矿,perovskite,5.632816774063653,1193.5231634073407,230.21098013486136,0.8545485498749269,34.766209310031456,1.004809167063732,1277.5606,16.988216894977167,47.32448093144987
浙江,杭州,hangzhou,30.27,120.15,10,华东,III,叠层,tandem,8.267993754733086,1161.5262646184901,328.8506705369317,0.8316391466066678,34.766209310031456,0.9886610233718661,1277.5606,16.988216894977167,47.32448093144987
安徽,合肥,hefei,31.83,117.23,30,华东,III,晶硅,c-Si,6.424718594113602,1338.890698921438,294.5566228648339,0.8280714464143648,34.29345619167716,0.9889202051451339,1460.7881499999999,16.84859589041096,43.158124725491234
安徽,合肥,hefei,31.83,117.23,30,华东,III,钙钛矿,perovskite,5.632816774063653,1388.7069929117386,267.8587293150318,0.8588816168433492,34.29345619167716,1.0047695643774843,1460.7881499999999,16.84859589041096,43.158124725491234
安徽,合肥,hefei,31.83,117.23,30,华东,III,叠层,tandem,8.267993754733086,1352.4602099245778,382.9077830231415,0.8364638600837984,34.29345619167716,0.988920205145134,1460.7881499999999,16.84859589041096,43.158124725491234
福建,福州,fuzhou,26.07,119.3,15,华东,III,晶硅,c-Si,6.424718594113602,1204.0708122592714,264.8961804237758,0.821513695071699,35.4937365316487,0.9872780652223729,1402.05355,18.9110502283105,12.596170144059942
福建,福州,fuzhou,26.07,119.3,15,华东,III,钙钛矿,perovskite,5.632816774063653,1257.32705934895,242.51770184037676,0.8578493788926539,35.4937365316487,1.0050134096902252,1402.05355,18.9110502283105,12.596170144059942
福建,福州,fuzhou,26.07,119.3,15,华东,III,叠层,tandem,8.267993754733086,1218.4894076519815,344.9780439361097,0.8313512174650733,35.4937365316487,0.987278065222373,1402.05355,18.9110502283105,12.596170144059942
江西,南昌,nanchang,28.68,115.86,25,华中,III,晶硅,c-Si,6.424718594113602,1322.9678978707077,291.0535986763546,0.8178732247104457,37.65297231772648,0.9882237159481609,1490.6787,19.000665525114158,25.665835359099802
江西,南昌,nanchang,28.68,115.86,25,华中,III,钙钛矿,perovskite,5.632816774063653,1380.8454461089966,266.3423662897273,0.8536537580795251,37.65297231772648,1.0049553629273458,1490.6787,19.000665525114158,25.665835359099802
江西,南昌,nanchang,28.68,115.86,25,华中,III,叠层,tandem,8.267993754733086,1337.6057155280855,378.70218682478253,0.8269224836905249,37.65297231772648,0.9882237159481612,1490.6787,19.000665525114158,25.665835359099802
山东,济南,jinan,36.65,117.0,50,华东,III,晶硅,c-Si,6.424718594113602,1547.1429596880657,340.37222430623586,0.8357156291906966,32.37054491887596,0.9903560991049049,1578.29725,13.51402511415525,76.21368654119523
山东,济南,jinan,36.65,117.0,50,华东,III,钙钛矿,perovskite,5.632816774063653,1594.0595510726012,307.46785893799733,0.8610584253705112,32.37054491887596,1.004240049658976,1578.29725,13.51402511415525,76.21368654119523
山东,济南,jinan,36.65,117.0,50,华东,III,叠层,tandem,8.267993754733086,1560.0923391158992,441.6924760511583,0.8427104571142537,32.37054491887596,0.990356099104905,1578.29725,13.51402511415525,76.21368654119523
河南,郑州,zhengzhou,34.75,113.62,100,华中,III,晶硅,c-Si,6.424718594113602,1477.2523802091996,324.9962618935124,0.8262571104324343,35.1688591922174,0.9895501409870486,1573.1471500000002,15.945391552511417,43.5365203636105
河南,郑州,zhengzhou,34.75,113.62,100,华中,III,钙钛矿,perovskite,5.632816774063653,1530.2469054488042,295.1594495627541,0.8558980193792275,35.1688591922174,1.0043065218883553,1573.1471500000002,15.945391552511417,43.5365203636105
河南,郑州,zhengzhou,34.75,113.62,100,华中,III,叠层,tandem,8.267993754733086,1491.005134955838,422.132545203602,0.8339493040952627,35.1688591922174,0.9895501409870487,1573.1471500000002,15.945391552511417,43.5365203636105
湖南,长沙,changsha,28.2,112.97,40,华中,IV,晶硅,c-Si,6.424718594113602,1221.6399061693182,268.7613898640291,0.8167310295311454,37.53326094929651,0.9883119904856779,1378.8663999999999,18.97873173515982,18.753608160122305
湖南,长沙,changsha,28.2,112.97,40,华中,IV,钙钛矿,perovskite,5.632816774063653,1278.802410083499,246.6599436442362,0.8549471932604401,37.53326094929651,1.0048214252899241,1378.8663999999999,18.97873173515982,18.753608160122305
湖南,长沙,changsha,28.2,112.97,40,华中,IV,叠层,tandem,8.267993754733086,1236.571649861707,350.0974783015759,0.8267136916372159,37.53326094929651,0.9883119904856781,1378.8663999999999,18.97873173515982,18.753608160122305
广西,南宁,nanning,22.82,108.36,80,华南,III,晶硅,c-Si,6.424718594113602,1197.2776260764806,263.4016760687102,0.812279589812471,38.24885628618289,0.9870269339467351,1417.4268499999998,22.391139269406395,20.544480637887798
广西,南宁,nanning,22.82,108.36,80,华南,III,钙钛矿,perovskite,5.632816774063653,1257.5465810958476,242.56004397336895,0.8531683870265186,38.24885628618289,1.0048361274716624,1417.4268499999998,22.391139269406395,20.544480637887798
广西,南宁,nanning,22.82,108.36,80,华南,III,叠层,tandem,8.267993754733086,1212.9973016064148,343.4231219246494,0.822944427535434,38.24885628618289,0.9870269339467354,1417.4268499999998,22.391139269406395,20.544480637887798
重庆,重庆,chongqing,29.55,106.55,240,西南,IV,晶硅,c-Si,6.424718594113602,926.7217854775339,203.87925592838008,0.8084228538738878,37.69655381200447,0.9874098000823,1123.5500499999998,18.532906392694066,3.101242557919232
重庆,重庆,chongqing,29.55,106.55,240,西南,IV,钙钛矿,perovskite,5.632816774063653,974.454482882703,187.9562361913493,0.8500623233069942,37.69655381200447,1.0052821500693248,1123.5500499999998,18.532906392694066,3.101242557919232
重庆,重庆,chongqing,29.55,106.55,240,西南,IV,叠层,tandem,8.267993754733086,940.8451726834172,266.3715624286812,0.8207433465722036,37.69655381200447,0.9874098000823002,1123.5500499999998,18.532906392694066,3.101242557919232
贵州,贵阳,guiyang,26.65,106.63,1100,西南,IV,晶硅,c-Si,6.424718594113602,1004.0952614937003,220.90145931883953,0.8287667970497771,30.272946987176546,0.9869893082303226,1193.90675,15.021023972602737,19.876782514539794
贵州,贵阳,guiyang,26.65,106.63,1100,西南,IV,钙钛矿,perovskite,5.632816774063653,1040.5801889367367,200.71079686476742,0.8588809681022102,30.272946987176546,1.0050215842358665,1193.90675,15.021023972602737,19.876782514539794
贵州,贵阳,guiyang,26.65,106.63,1100,西南,IV,叠层,tandem,8.267993754733086,1016.9729963717748,287.92482956436373,0.8393959071526187,30.272946987176546,0.9869893082303229,1193.90675,15.021023972602737,19.876782514539794
陕西,西安,xian,34.27,108.93,400,西北,III,晶硅,c-Si,6.424718594113602,1448.263951717611,318.61879313858,0.8184740894025622,38.214994127570186,0.989406491972822,1581.39175,14.717966894977168,34.36593189585773
陕西,西安,xian,34.27,108.93,400,西北,III,钙钛矿,perovskite,5.632816774063653,1510.2002230207877,291.29277436808854,0.8534768478401636,38.214994127570186,1.0045575645956537,1581.39175,14.717966894977168,34.36593189585773
陕西,西安,xian,34.27,108.93,400,西北,III,叠层,tandem,8.267993754733086,1463.493792598007,414.34354924429374,0.8270811048099018,38.214994127570186,0.9894064919728223,1581.39175,14.717966894977168,34.36593189585773
青海,西宁,xining,36.62,101.78,2260,西北,II,晶硅,c-Si,6.424718594113602,1765.5470473649225,388.4212327411991,0.8303866659600524,31.30778769958957,0.9906788235931858,1754.8420700000001,6.447334474885844,36.458119418792265
青海,西宁,xining,36.62,101.78,2260,西北,II,钙钛矿,perovskite,5.632816774063653,1800.8890091710057,347.36185825818103,0.8470089892657056,31.30778769958957,1.0038639074748374,1754.8420700000001,6.447334474885844,36.458119418792265
青海,西宁,xining,36.62,101.78,2260,西北,II,叠层,tandem,8.267993754733086,1776.5585125137243,502.97825876552474,0.8355656691737566,31.30778769958957,0.9906788235931859,1754.8420700000001,6.447334474885844,36.458119418792265
