adcode,city,city_fullname,province,province_fullname,province_code,admin_type,altitude_m,lat,lon,anchor_lat,anchor_lon,ghi_kwh_m2,tair_mean,csi_yield_kwh_per_kwp,perovskite_yield_kwh_per_kwp,tandem_yield_kwh_per_kwp,csi_PR,perovskite_PR,tandem_PR,perovskite_advantage_pct,tandem_advantage_pct,csi_yield_kwh_per_m2,perovskite_yield_kwh_per_m2,tandem_yield_kwh_per_m2,land_grid_cell_count,land_grid_area_weight_sum,aggregation_method
420200,黄石,黄石市,湖北,湖北省,420000,prefecture_level_city,26.0,29.946315369173963,115.02680219274265,30.203503,115.03361,1406.092703699968,18.061400518610142,1257.560271418153,1310.336546686023,1250.2928153387236,0.8201041363570015,0.8552034318546061,0.8153645399058448,4.196719351538847,-0.5779012143277917,276.663888169747,252.74235973597658,353.98220704608445,45,38.99186277733654,area mean of anchor-constrained 0.1 degree land-cell surfaces
420300,十堰,十堰市,湖北,湖北省,420000,prefecture_level_city,314.0,32.45260121007458,110.42941497726305,32.631248,110.793602,1349.683970196473,14.821211792250192,1239.135673336996,1284.0441256715126,1231.4255552749628,0.8250394229435533,0.8574003126701464,0.8199047775510886,3.6241755685701538,-0.6222174236393152,272.6104673843167,247.67098433460694,348.6405188620464,227,191.54106678558708,area mean of anchor-constrained 0.1 degree land-cell surfaces
420500,宜昌,宜昌市,湖北,湖北省,420000,prefecture_level_city,65.0,30.74645814595156,111.13062429523922,30.694608,111.281301,1361.6892865504462,16.470166563503483,1227.3596132098326,1275.2544663013573,1220.3684248935483,0.8205544945329957,0.855901016526519,0.8158945333431056,3.9022673205181047,-0.5696120551009987,270.0197282713295,245.97560366610088,345.51003025330476,198,170.16224111286724,area mean of anchor-constrained 0.1 degree land-cell surfaces
420600,襄阳,襄阳市,湖北,湖北省,420000,prefecture_level_city,69.0,31.930242720540402,111.92081411541653,32.012117,112.115661,1455.889926754675,16.274067594657236,1347.069398205365,1398.5833489345177,1338.7833019361385,0.8238787558843387,0.8565413061136334,0.8188106006786394,3.8241497281270354,-0.6151202217395402,296.35594079455086,269.7637158874531,379.0355844342035,189,160.39902173684405,area mean of anchor-constrained 0.1 degree land-cell surfaces
420700,鄂州,鄂州市,湖北,湖北省,420000,prefecture_level_city,27.0,30.349799393743233,114.76422383622958,30.393816,114.889915,1405.638311472904,17.898885405096376,1259.5975739024373,1313.2562381966184,1252.137228647895,0.8204489967463232,0.8555413191902461,0.8155899658428509,4.259984728927191,-0.5922800590532185,277.1120957344185,253.3055201881179,354.50439631717035,14,12.081332988836753,area mean of anchor-constrained 0.1 degree land-cell surfaces
420800,荆门,荆门市,湖北,湖北省,420000,prefecture_level_city,96.0,31.071866846961893,112.5936863364385,31.037659,112.193181,1475.8246619108954,16.860603218541044,1351.9030380415825,1405.5960542168568,1342.5765917719734,0.8246392587778688,0.8572852060129589,0.8189491051868188,3.9716617733958293,-0.6898753836014571,297.41934397409955,271.11635135020805,380.1095385444577,113,96.78513466480668,area mean of anchor-constrained 0.1 degree land-cell surfaces
420900,孝感,孝感市,湖北,湖北省,420000,prefecture_level_city,25.0,31.12318866546647,113.86801197964112,30.920732,113.951438,1512.4974697912785,17.142023992384193,1375.8867301967016,1430.248844688412,1366.729403743145,0.8235527132189614,0.8562773098518667,0.8180696965040505,3.951060308862675,-0.6655581635159336,302.69576823392345,275.8714689981251,386.9476692471509,86,73.61872171750727,area mean of anchor-constrained 0.1 degree land-cell surfaces
421000,荆州,荆州市,湖北,湖北省,420000,prefecture_level_city,28.0,30.007329235906017,112.51837714095382,30.338839,112.23572,1425.2500029320615,17.633628940068697,1278.9300280318503,1334.1413996280044,1270.9735615608731,0.821200717030086,0.8563331546107944,0.8160905892206003,4.316997051130245,-0.6221189820072803,281.36524530416045,257.3339241863009,359.8373284234661,128,110.84171535375694,area mean of anchor-constrained 0.1 degree land-cell surfaces
421100,黄冈,黄冈市,湖北,湖北省,420000,prefecture_level_city,56.0,30.721932134110144,115.34409042534688,30.456388,114.867363,1449.449058728613,17.422035908580977,1311.9171448880038,1364.806777995125,1303.6607728929894,0.8222272074146564,0.8559432516276068,0.8170534145746944,4.031476630457198,-0.6293363896634818,288.62242749761623,263.24877110887536,369.0917135303577,161,138.39678716985304,area mean of anchor-constrained 0.1 degree land-cell surfaces
421200,咸宁,咸宁市,湖北,湖北省,420000,prefecture_level_city,39.0,29.63849355654693,114.17495590468506,29.843815,114.317194,1438.375772135401,18.184969301106406,1285.1668998777939,1341.6537661626905,1278.4361098606246,0.8183715723043832,0.855071838838838,0.8140813807463839,4.3952942057773114,-0.5237288649286964,282.7373602271051,258.7829360832675,361.95012095088566,92,79.96169868402376,area mean of anchor-constrained 0.1 degree land-cell surfaces
421300,随州,随州市,湖北,湖北省,420000,prefecture_level_city,77.0,31.83551120574616,113.40770488418002,31.692149,113.376107,1473.1321057873433,16.221008405143643,1349.8503819227428,1400.2795378910364,1340.3676431672047,0.8253992952561847,0.8570825502464069,0.8195999766784153,3.7359070785653703,-0.7025029501440572,296.96775860215297,270.09088282827673,379.48414224306765,91,77.30905286983145,area mean of anchor-constrained 0.1 degree land-cell surfaces
422800,恩施,恩施土家族苗族自治州,湖北,湖北省,420000,autonomous_prefecture,434.0,30.190146897522325,109.56352821950061,30.274673,109.483206,1203.3134135448677,15.875023900565312,1042.9560603895748,1083.1680483014818,1037.7009343529987,0.8170650454107974,0.8539605489807701,0.8129612071224548,3.855578335379417,-0.50386840214659,229.45085449636923,208.9252942007169,293.7933118463484,225,194.47223799136404,area mean of anchor-constrained 0.1 degree land-cell surfaces
430100,长沙,长沙市,湖南,湖南省,430000,prefecture_level_city,40.0,28.230145941925944,113.16062354775883,28.2,112.97,1369.1281483797095,18.589198446827226,1208.6280280453648,1263.4427925766213,1202.4690334122104,0.8164056472340714,0.8542395382762814,0.8122418552193472,4.5352882160034635,-0.5095856202437243,265.89877017415597,243.69732615245647,340.442364484443,115,101.32054073755057,area mean of anchor-constrained 0.1 degree land-cell surfaces
