adcode,city,city_fullname,province,province_fullname,province_code,admin_type,lat,lon,altitude_m,ghi_kwh_m2,tair_mean,csi_yield_kwh_per_kwp,perovskite_yield_kwh_per_kwp,tandem_yield_kwh_per_kwp,perovskite_advantage_pct,tandem_advantage_pct,csi_yield_kwh_per_m2,perovskite_yield_kwh_per_m2,tandem_yield_kwh_per_m2,csi_PR,perovskite_PR,tandem_PR
220200,吉林,吉林市,吉林,吉林省,220000,prefecture_level_city,43.835879,126.54403,190.0,1447.45775,4.996081050228311,1580.294956743583,1601.9727131884888,1564.3812764581644,1.3717538205384017,-1.0070069652193925,347.6656802259495,308.9941777079355,442.9067576079839,0.8497615316830728,0.861418167959401,0.8412043738712693
220300,四平,四平市,吉林,吉林省,220000,prefecture_level_city,43.164187,124.344394,165.0,1482.0858999999998,7.334555936073059,1575.3368014166892,1599.4036535958753,1559.0768255727585,1.5277274140706343,-1.0321586996068555,346.5748835762262,308.4986483835175,441.4049644211816,0.8492622525865394,0.8622366648366577,0.8404965183639902
220400,辽源,辽源市,吉林,吉林省,220000,prefecture_level_city,42.885443,125.138281,260.0,1467.31335,6.205246575342467,1570.7771020681273,1590.8843488937405,1553.708537554662,1.2800827564356076,-1.0866318646351791,345.5717474408618,306.8554146820894,439.8850977008485,0.8508857287023089,0.8617777701923988,0.8416397332425964
220500,通化,通化市,吉林,吉林省,220000,prefecture_level_city,41.726147,125.934064,379.0,1401.7267,4.574835616438356,1498.6802946751795,1518.1638308656316,1481.6563744321986,1.3000461979567612,-1.1359274091657157,329.710413784492,292.8288232891143,419.4857293195911,0.8510187984605628,0.8620824359938468,0.8413518426716966
220600,白山,白山市,吉林,吉林省,220000,prefecture_level_city,41.941619,126.408407,469.0,1487.44162,4.775368721461187,1566.5627904637397,1590.8954416735207,1549.7723799717005,1.5532509362473856,-1.0717993938225034,344.6445967818211,306.8575542967898,438.7706949534245,0.8488242489747923,0.8620086195690879,0.8397265558196619
220700,松原,松原市,吉林,吉林省,220000,prefecture_level_city,45.139938,124.819023,133.0,1477.2163,5.506303652968037,1652.0885238541537,1667.689254207039,1633.4636661972186,0.9443035362590946,-1.1273522809471026,363.4603008686539,321.66981717836103,462.4653253993402,0.8570676465428024,0.8651609666372387,0.8474054748802425
220800,白城,白城市,吉林,吉林省,220000,prefecture_level_city,45.618221,122.832229,154.0,1500.5445,6.717908675799087,1722.5365581462324,1740.858155458098,1704.0756901203615,1.0636405494686807,-1.0717257603947927,378.9589036188687,335.7828943173996,482.45696237082313,0.8558023463120706,0.8649050070907502,0.8466304921085811
222400,延边,延边朝鲜族自治州,吉林,吉林省,220000,autonomous_prefecture,42.906849,129.463538,186.0,1417.5899000000002,5.727768264840181,1568.043568291318,1590.429969375785,1551.7289130440374,1.427664481852453,-1.0404465524550766,344.97036864389764,306.7677723493817,439.3246275095489,0.8499469719749572,0.8620813630084241,0.8411037280073473
230100,哈尔滨,哈尔滨市,黑龙江,黑龙江省,230000,prefecture_level_city,45.75,126.63,150.0,1424.2582999999995,4.720284246575343,1596.3940666434817,1611.3141661511431,1577.969807569028,0.9346125633648672,-1.1541172358020435,351.207492449355,310.7959902812893,446.75393498445686,0.8577388553952491,0.8657553904986353,0.8478395434269613
230200,齐齐哈尔,齐齐哈尔市,黑龙江,黑龙江省,230000,prefecture_level_city,47.352853,123.911643,146.0,1440.30325,4.1783390410958905,1678.3419026043723,1692.5632948703212,1661.124088701811,0.8473477450500866,-1.0258823828353192,369.2360573136612,326.4676103478383,470.2965288469504,0.8562553081560234,0.8635107682015549,0.8474711357975583
230300,鸡西,鸡西市,黑龙江,黑龙江省,230000,prefecture_level_city,45.292922,130.961929,224.0,1459.35235,4.233181506849316,1602.8896505789403,1623.6665575330708,1585.895852613004,1.2962156781426648,-1.0601976224500764,352.63652416128275,313.1785633341027,448.9979524525195,0.8534039809673523,0.8644659371665446,0.8443562122512419
230400,鹤岗,鹤岗市,黑龙江,黑龙江省,230000,prefecture_level_city,47.348215,130.289833,208.0,1419.87435,3.2458458904109584,1610.484017383988,1628.01327984904,1594.0261273431558,1.0884468442925455,-1.0219219727225726,354.30728865362977,314.01697454840763,451.29979131583445,0.8545860445225343,0.8638877593559044,0.8458528419577378
230500,双鸭山,双鸭山市,黑龙江,黑龙江省,230000,prefecture_level_city,46.673891,131.133412,129.0,1306.07779,4.378691780821917,1469.4661087554966,1482.668581521068,1452.9984918815312,0.8984537096097256,-1.1206530573142692,323.28327828255806,285.98237372510664,411.37212553806063,0.8592289166060649,0.8669486906813516,0.8495999414827908
