elapsed_days,ambient_temperature_c,tandem_cell_temperature_c,irradiance_suns,jsc_a,voc_v,fill_factor,power_density_w_m2,pce_pct,day_cluster,model_lumped_power_w,model_matched_power_w,measured_relative_efficiency,model_relative_efficiency,sensitivity_relative_efficiency
4.875,31.0,49.3,0.68362,0.01589,1.63409,0.6872,15.28832,22.36384,4,4.409537823405467,4.366941148010805,0.9793350248338788,1.0127412618355838,0.9990233547121571
4.88194,31.3,50.0,0.7084,0.01651,1.63555,0.68977,15.9505,22.51608,4,4.556481486997531,4.511290768005992,0.9860017674049537,1.009620575751927,0.998146031292201
4.88889,32.5,52.2,0.73134,0.01703,1.6346,0.68949,16.43864,22.47745,4,4.667674437689438,4.617436803567527,0.9843101208894478,1.0009619258787876,0.991543057075287
4.89583,32.0,53.4,0.75,0.01747,1.63881,0.68714,16.8453,22.4604,4,4.765634335139777,4.7121777223719095,0.9835634842575717,0.9960848251505687,0.9882543701487968
4.90278,32.3,54.6,0.77678,0.0182,1.63672,0.68703,17.53004,22.56755,4,4.9127470694884865,4.855451392433231,0.988255690422119,0.9909859591611627,0.9853365679060193
4.90972,32.7,54.5,0.78647,0.01849,1.63929,0.68826,17.86335,22.71341,4,4.9743602676616545,4.916584395793893,0.9946430463825564,0.9910995134713513,0.9862072212447127
4.91667,33.4,52.2,0.82151,0.01937,1.65325,0.68465,18.77925,22.85943,4,5.230322857144912,5.174424468398772,1.0010374089037621,0.9985851953642876,0.9963449899876056
4.92361,33.2,53.0,0.84972,0.02014,1.65316,0.68514,19.5355,22.99065,4,5.391005633632686,5.331844289969976,1.0067836645538966,0.9948040461285677,0.9946522431263669
4.93056,33.4,50.7,0.71197,0.01763,1.6498,0.6895,17.17637,24.12527,4,4.568587812828123,4.522033638464588,1.0564698144224798,1.0069502634397742,0.9958163813015555
4.9375,33.6,48.1,0.62564,0.01528,1.64689,0.66084,14.2465,22.77105,4,4.055688683624689,4.018267659733608,0.9971671598993507,1.018240296833491,0.9989437199989567
4.94444,33.8,45.3,0.36254,0.01124,1.62538,0.63245,9.8949,27.29357,4,2.370706714529457,2.351085083956284,1.1952128549370415,1.0281307329906448,0.9750952262780687
4.95139,33.2,45.0,0.45043,0.0116,1.62863,0.63785,10.32486,22.92237,4,2.952468729628867,2.9285474557349915,1.0037936147460078,1.0307678952606871,0.9908419783166214
4.95833,34.2,49.3,0.87806,0.02075,1.67278,0.67602,20.09335,22.88372,4,5.633551636937653,5.579946281231913,1.0021010924104057,1.0074923337289143,1.0093897061357802
4.96528,34.4,51.4,0.87137,0.02058,1.66512,0.6776,19.88654,22.82221,4,5.553650508977874,5.49625252557855,0.9994075077050272,1.0,1.0014082909257331
4.97222,34.7,50.7,0.74387,0.01742,1.65712,0.6716,16.60744,22.32558,4,4.7696257197294125,4.721143076060587,0.9776595809901495,1.00620400937383,0.9977861734511456
4.97917,34.9,51.7,0.86367,0.02043,1.66421,0.67725,19.72266,22.83574,4,5.500540975426007,5.443017390153878,1.0,0.9991433748275069,1.0
4.98611,34.9,51.9,0.85028,0.01988,1.66415,0.67678,19.17664,22.55319,4,5.414028558014379,5.3569290982380835,0.9876268515931605,0.9988260487885604,0.9987144257605262
