case,context,adcode,technology,npv_usd,discounted_mwh,construction_usd
Central,area,510400,T,967244.5726413011,31833.44131999804,1097425.0216505441
Central,area,510500,T,39065.204321973964,20231.19921600645,1097425.0216505441
Central,area,510600,T,292554.1152369908,23399.810602444166,1097425.0216505441
Central,area,510700,T,387236.64125442214,24583.342177662053,1097425.0216505441
Central,area,510800,T,331301.9817623723,23884.15893401143,1097425.0216505441
Central,area,510900,T,329873.71399920306,23866.305586971812,1097425.0216505441
Central,area,511000,T,287354.0834869573,23334.81020556874,1097425.0216505441
Central,area,511100,T,61411.88566442935,20510.532732787142,1097425.0216505441
Central,area,511300,T,294052.41361934086,23418.539332223543,1097425.0216505441
Central,area,511400,T,255644.082200198,22938.435189484255,1097425.0216505441
Central,area,511500,T,15553.914502734755,19937.30809326596,1097425.0216505441
Central,area,511600,T,123652.75164087904,21288.54355749276,1097425.0216505441
Central,area,511700,T,265786.38482600555,23065.213972306843,1097425.0216505441
Central,area,511800,T,408187.07310571143,24845.22257580317,1097425.0216505441
Central,area,511900,T,257893.89121087568,22966.557802117724,1097425.0216505441
Central,area,512000,T,300357.85045428015,23497.357292660283,1097425.0216505441
Central,area,513200,T,1267122.008252748,35581.90926514112,1097425.0216505441
Central,area,513300,T,1554961.3463462964,39179.900991310475,1097425.0216505441
Central,area,513400,T,821423.0850162059,30010.67272468435,1097425.0216505441
Central,area,520100,T,140744.83615192265,21502.19461388081,1097425.0216505441
Central,area,520200,T,284620.1003868899,23300.6354168179,1097425.0216505441
Central,area,520300,T,-34168.105378694236,19315.782844748093,1097425.0216505441
Central,area,520400,T,196474.66418449255,22198.81746428794,1097425.0216505441
Central,area,520500,T,209483.9036341014,22361.432957408048,1097425.0216505441
Central,area,520600,T,130852.71322237815,21378.543077261507,1097425.0216505441
Central,area,522300,T,346233.7493131079,24070.806028395626,1097425.0216505441
Central,area,522600,T,247836.85451691525,22840.844843443218,1097425.0216505441
Central,area,522700,T,257327.16623825638,22959.47373995998,1097425.0216505441
Central,area,530100,T,901058.3602913638,31006.113665623827,1097425.0216505441
Central,area,530300,T,631373.0072792319,27635.04675297217,1097425.0216505441
Central,area,530400,T,852679.3859926687,30401.37648689013,1097425.0216505441
Central,area,530500,T,949076.0528237493,31606.33482227864,1097425.0216505441
Central,area,530600,T,237765.2143268611,22714.949341067542,1097425.0216505441
Central,area,530700,T,1068118.397571792,33094.364131629176,1097425.0216505441
Central,area,530800,T,893254.6271733278,30908.567001648375,1097425.0216505441
Central,area,530900,T,989992.9715587086,32117.79630646563,1097425.0216505441
Central,area,532300,T,1068431.7731747415,33098.28132666605,1097425.0216505441
Central,area,532500,T,684886.4788259027,28303.965147305564,1097425.0216505441
Central,area,532600,T,588493.1298533704,27099.048285148907,1097425.0216505441
Central,area,532800,T,863571.9136843738,30537.53308303645,1097425.0216505441
Central,area,532900,T,1035281.6294053264,32683.90452954836,1097425.0216505441
Central,area,533100,T,883159.4029691101,30782.376699095657,1097425.0216505441
Central,area,533300,T,858892.8699406363,30479.04503623973,1097425.0216505441
Central,area,533400,T,1231738.2892935416,35139.61277815105,1097425.0216505441
Central,area,540100,T,904089.3105747225,31044.00054416581,1097425.0216505441
Central,area,540200,T,944980.4840190143,31555.14021221946,1097425.0216505441
Central,area,540300,T,736012.0520876606,28943.03481307754,1097425.0216505441
Central,area,540400,T,431025.8479271147,25130.70726107071,1097425.0216505441
Central,area,540500,T,744070.7837418728,29043.768958755187,1097425.0216505441
Central,area,540600,T,951715.690580553,31639.330294238684,1097425.0216505441
Central,area,542500,T,1042470.0639835157,32773.75996177573,1097425.0216505441
Central,area,610100,T,787378.2191076373,29585.11190082724,1097425.0216505441
Central,area,610200,T,943394.1937852757,31535.31158429772,1097425.0216505441
Central,area,610300,T,682105.5432516908,28269.203452627913,1097425.0216505441
Central,area,610400,T,906148.5646284347,31069.741219837215,1097425.0216505441
Central,area,610500,T,980435.524377784,31998.328216704074,1097425.0216505441
Central,area,610600,T,1038923.8287896706,32729.432021852655,1097425.0216505441
Central,area,610700,T,436376.9015022527,25197.59543075994,1097425.0216505441
Central,area,610800,T,1221830.8884980103,35015.7702682069,1097425.0216505441
Central,area,610900,T,439082.4475476336,25231.4147563272,1097425.0216505441
Central,area,611000,T,661606.2059899642,28012.961736856334,1097425.0216505441
Central,area,620100,T,1180146.7645951111,34494.71871942066,1097425.0216505441
Central,area,620200,T,1421280.729287663,37508.893278077565,1097425.0216505441
Central,area,620300,T,1396336.501182015,37197.090426756964,1097425.0216505441
Central,area,620400,T,1165573.2183475054,34312.54939132559,1097425.0216505441
Central,area,620500,T,671150.5237114392,28132.265708374765,1097425.0216505441
Central,area,620600,T,1368250.4896279976,36846.01528233174,1097425.0216505441
Central,area,620700,T,1464429.2025112929,38048.24919337294,1097425.0216505441
Central,area,620800,T,792189.3984585557,29645.25164271373,1097425.0216505441
Central,area,620900,T,1569030.6385522722,39355.76714388518,1097425.0216505441
Central,area,621000,T,948187.7384836889,31595.230893027885,1097425.0216505441
Central,area,621100,T,1004696.7283868878,32301.59326681787,1097425.0216505441
Central,area,621200,T,491524.1916670834,25886.936557820318,1097425.0216505441
Central,area,622900,T,1143730.2602128705,34039.51241464266,1097425.0216505441
Central,area,623000,T,1136176.6410653747,33945.09217529896,1097425.0216505441
Central,area,630100,T,1350344.4274905205,36622.18950561329,1097425.0216505441
Central,area,630200,T,1176882.2640698021,34453.91246285431,1097425.0216505441
Central,area,632200,T,1455778.5717454033,37940.11630879932,1097425.0216505441
Central,area,632300,T,1244978.5395424215,35305.11590626205,1097425.0216505441
Central,area,632500,T,1410826.3340225404,37378.21333726353,1097425.0216505441
Central,area,632600,T,1490879.880060553,38378.88266273868,1097425.0216505441
Central,area,632700,T,1602547.6699742859,39774.73003666035,1097425.0216505441
Central,area,632800,T,1639517.7281399264,40236.85576373086,1097425.0216505441
Central,area,640100,T,1389666.63844771,37113.71714257815,1097425.0216505441
Central,area,640200,T,1427984.4728116712,37592.69007212766,1097425.0216505441
Central,area,640300,T,1330752.3950760951,36377.28910043297,1097425.0216505441
Central,area,640400,T,1045737.6819290197,32814.60518609452,1097425.0216505441
Central,area,640500,T,1341556.45567165,36512.33985787741,1097425.0216505441
Central,area,650100,T,1321723.600647046,36264.42917006985,1097425.0216505441
Central,area,650200,T,1278845.7099826457,35728.45553676485,1097425.0216505441
Central,area,650400,T,1440135.5368053885,37744.57837204913,1097425.0216505441
Central,area,650500,T,1449833.1651091082,37865.79872584563,1097425.0216505441
Central,area,652300,T,1306923.9118711944,36079.4330603717,1097425.0216505441
Central,area,652700,T,1114999.2949911046,33680.37534937059,1097425.0216505441
Central,area,652800,T,1594098.7937567781,39669.1190839415,1097425.0216505441
Central,area,652900,T,1424848.1859181141,37553.4864859582,1097425.0216505441
Central,area,653000,T,1570552.9458311344,39374.79598487096,1097425.0216505441
Central,area,653100,T,1613208.16457141,39907.986219124396,1097425.0216505441
Central,area,653200,T,1674807.935390374,40677.98335436145,1097425.0216505441
Central,area,654000,T,1174906.255635289,34429.21235742289,1097425.0216505441
Central,area,654200,T,1222821.2130952182,35028.149325672006,1097425.0216505441
Central,area,654300,T,1232159.2598439509,35144.87491003117,1097425.0216505441
om=0.01,cap,110000,Si,226333.98658930854,21595.505941919713,558738.0237506496
om=0.01,cap,120000,Si,224593.12916512886,21551.98450631522,558738.0237506496
om=0.01,cap,130100,Si,186466.1108762507,20598.809049093266,558738.0237506496
om=0.01,cap,130200,Si,196037.85475905205,20838.1026461633,558738.0237506496
om=0.01,cap,130300,Si,213127.79861257787,21265.351242501445,558738.0237506496
om=0.01,cap,130400,Si,158345.0533865571,19895.782611850926,558738.0237506496
om=0.01,cap,130500,Si,168404.97153202124,20147.28056548753,558738.0237506496
om=0.01,cap,130600,Si,195801.83230995556,20832.20208493589,558738.0237506496
om=0.01,cap,130700,Si,225797.60744737496,21582.096463371374,558738.0237506496
