case,context,strategy,share,before_viable,after_viable,after_si,after_sj,after_t,total_public_usd,private_gain_usd,additional_discounted_mwh
t_deg=0.005,area,Matched gap,0.0,337,337,8,0,329,0.0,0.0,0.0
t_deg=0.005,area,General,0.1,337,337,1,0,336,38801049.46866895,36854325.24683805,30394.653616395735
t_deg=0.005,area,New technology,0.1,337,337,0,0,337,38832384.39110451,36841978.380100474,34386.26064989263
t_deg=0.005,area,Matched gap,0.1,337,337,1,0,336,104015.30948900655,7.0,30394.653616395735
t_deg=0.005,area,General,0.2,337,337,0,0,337,77664768.78220902,73825201.6097238,34386.26064989263
t_deg=0.005,area,New technology,0.2,337,337,0,0,337,77664768.78220902,73825201.6097238,34386.26064989263
t_deg=0.005,area,Matched gap,0.2,337,337,0,0,337,148315.4919990173,8.0,34386.26064989263
t_deg=0.005,area,General,0.3,337,337,0,0,337,116497153.17331353,110808424.83934715,34386.26064989263
t_deg=0.005,area,New technology,0.3,337,337,0,0,337,116497153.17331353,110808424.83934715,34386.26064989263
t_deg=0.005,area,Matched gap,0.3,337,337,0,0,337,148315.4919990173,8.0,34386.26064989263
t_deg=0.02,cap,General,0.0,258,258,123,135,0,0.0,0.0,0.0
t_deg=0.02,cap,New technology,0.0,258,258,123,135,0,0.0,0.0,0.0
t_deg=0.02,cap,Matched gap,0.0,258,258,123,135,0,0.0,0.0,0.0
t_deg=0.02,cap,General,0.1,258,294,212,82,0,15752358.408689465,13590172.695179444,674049.7290951391
t_deg=0.02,cap,New technology,0.1,258,294,0,294,0,11884950.0,9242228.968988221,256723.3444354371
t_deg=0.02,cap,Matched gap,0.1,258,294,212,82,0,1482807.2787510443,124.00000000000091,674049.7290951391
t_deg=0.02,cap,General,0.2,258,313,313,0,0,36725850.301130205,29925854.220964156,1059572.7812735206
t_deg=0.02,cap,New technology,0.2,258,311,0,311,0,25144350.0,20871575.615580227,487290.344632922
t_deg=0.02,cap,Matched gap,0.2,258,313,313,0,0,5303902.869117841,190.00000000000182,1059572.7812735206
t_deg=0.02,cap,General,0.3,258,333,333,0,0,58608825.001324385,48143616.906057514,1332423.8236313215
t_deg=0.02,cap,New technology,0.3,258,330,0,330,0,40020750.0,33275112.767909054,728774.852654143
