adcode,city,province,gamma,gap,raw_capacity_pct,matched_capacity_pct,raw_area_pct,raw_yield_kwh_kwp
411100,漯河,河南,-0.4,1.75,1.3646140171374554,-1.4221954147446092,30.44649090350542,1503.7834128821955
411200,三门峡,河南,-0.4,1.75,1.3056156916142259,-1.3689186457964464,30.37056574354391,1516.0572701398291
411300,南阳,河南,-0.4,1.75,1.4724653652630648,-1.4134640729999703,30.58528519615491,1415.1404726234184
411400,商丘,河南,-0.4,1.75,1.4496897699963762,-1.354150896471218,30.555975199667618,1476.9296257650328
411500,信阳,河南,-0.4,1.75,1.617203622054375,-1.4011660033551476,30.771549385892015,1353.3300206007598
411600,周口,河南,-0.4,1.75,1.3824344195425553,-1.39934966322377,30.469424044254524,1504.63028582898
411700,驻马店,河南,-0.4,1.75,1.51892243136722,-1.407190101873601,30.645070963700327,1430.0616973084007
420100,武汉,湖北,-0.4,1.75,1.5595594371524912,-1.4741111636363602,30.697366874427303,1356.385430075617
420200,黄石,湖北,-0.4,1.75,1.6247848184984592,-1.4632747216730135,30.78130565520325,1277.9929197916233
420300,十堰,湖北,-0.4,1.75,1.7373518248438025,-1.3234743419288986,30.926168545588073,1260.6638195700107
420500,宜昌,湖北,-0.4,1.75,1.6960967305104768,-1.4254743053830787,30.8730772144578,1248.1768194810893
420600,襄阳,湖北,-0.4,1.75,1.4967655738077124,-1.4159647042069956,30.616557223021566,1367.231869213005
420700,鄂州,湖北,-0.4,1.75,1.635500388943023,-1.4669378123246424,30.79509556182971,1280.1982971227285
420800,荆门,湖北,-0.4,1.75,1.6231552359347257,-1.4320333171102706,30.779208539467785,1373.8465229883125
420900,孝感,湖北,-0.4,1.75,1.552091242170195,-1.4467597586560466,30.687756027108737,1397.2417476382668
421000,荆州,湖北,-0.4,1.75,1.6822021632114437,-1.464181389240815,30.855196245202833,1300.444216629362
421100,黄冈,湖北,-0.4,1.75,1.5985697277924427,-1.4474113827867785,30.747569359509974,1332.8890552199027
421200,咸宁,湖北,-0.4,1.75,1.513253116315405,-1.5159966066075392,30.637775101515018,1304.6147280400505
421300,随州,湖北,-0.4,1.75,1.6275490063711873,-1.403970290917056,30.78486289864262,1371.819858401223
422800,恩施,湖北,-0.4,1.75,2.0583628284656763,-1.3297118754124204,31.33927877512839,1064.423880253864
430100,长沙,湖南,-0.4,1.75,1.6637815397814837,-1.4940095909512952,30.83149067783111,1228.7369580606082
430200,株洲,湖南,-0.4,1.75,1.6567625042945844,-1.5369176411820784,30.822457855502815,1217.2777852424956
430300,湘潭,湖南,-0.4,1.75,1.72759178452917,-1.4898396577609607,30.91360831416543,1219.306957828982
430400,衡阳,湖南,-0.4,1.75,1.735793453136436,-1.5473079667206235,30.924163071362965,1201.7477568870063
430500,邵阳,湖南,-0.4,1.75,1.8536772701301496,-1.5200010548510168,31.075868184732602,1150.6180902920182
430600,岳阳,湖南,-0.4,1.75,1.742711733291702,-1.4584496896314914,30.933066231288066,1247.116334580823
430700,常德,湖南,-0.4,1.75,1.8248425043021488,-1.4512308261995566,31.03876061958517,1190.4153062415185
430800,张家界,湖南,-0.4,1.75,2.0469616787988976,-1.3928562492028118,31.3246065941043,1093.6208484793278
430900,益阳,湖南,-0.4,1.75,1.8406732920630553,-1.4736470104491528,31.05913331800336,1177.4438082095746
431000,郴州,湖南,-0.4,1.75,1.9236111366835784,-1.5011190674077637,31.165866332268255,1147.8923181487116
431100,永州,湖南,-0.4,1.75,1.755140985453263,-1.5369700551143284,30.94906148115659,1166.1047671127756
431200,怀化,湖南,-0.4,1.75,2.136688462512115,-1.4194913969936662,31.440076318809872,1099.7062655535476
431300,娄底,湖南,-0.4,1.75,1.8831081175355147,-1.4914307122726456,31.113742849432647,1142.6737834626408
433100,湘西,湖南,-0.4,1.75,2.1052583938353964,-1.4063765530160866,31.399628848975468,1073.044515584472
440100,广州,广东,-0.4,1.75,1.6615953314522924,-1.619810039486902,30.82867723837106,1290.5313247432584
440200,韶关,广东,-0.4,1.75,1.742080816397995,-1.5439278346441545,30.93225430204003,1201.6489564640583
440300,深圳,广东,-0.4,1.75,1.766777650722795,-1.6557468062268432,30.964036748067514,1362.0147453628165
440400,珠海,广东,-0.4,1.75,1.8542358781795665,-1.6597845825622848,31.07658705946561,1378.4582736039213
440500,汕头,广东,-0.4,1.75,1.8897904788015563,-1.6067985169775143,31.122342404480086,1393.1406390543282
440600,佛山,广东,-0.4,1.75,1.7447024239543474,-1.6010657872412848,30.93562805835104,1255.2082440801937
440700,江门,广东,-0.4,1.75,1.8417857105130553,-1.6276528884686114,31.0605648933576,1266.4370696466244
440800,湛江,广东,-0.4,1.75,1.667812007872005,-1.726092407269908,30.83667750189396,1408.0893458323767
440900,茂名,广东,-0.4,1.75,1.7918099484253824,-1.6474093592688033,30.99625090313747,1320.2006500548935
441200,肇庆,广东,-0.4,1.75,1.7155502636998943,-1.5809562004572286,30.898112037160374,1230.4171691231647
441300,惠州,广东,-0.4,1.75,1.5947895491790431,-1.6632338352363774,30.742704633886664,1339.2870495202267
441400,梅州,广东,-0.4,1.75,1.6858565866796793,-1.5955514467506091,30.8598991360719,1283.965089397123
441500,汕尾,广东,-0.4,1.75,1.8724548887725012,-1.609732811917064,31.100033170543195,1395.3692634857314
441600,河源,广东,-0.4,1.75,1.6617029107826475,-1.5976163971057056,30.82881568260305,1299.3375358800924
441700,阳江,广东,-0.4,1.75,1.9126712696718506,-1.6188124370469017,31.15178777757275,1281.2938906277818
441800,清远,广东,-0.4,1.75,1.691865178494445,-1.5660286099869247,30.86763161475894,1217.2204254413075
441900,东莞,广东,-0.4,1.75,1.6182287986365784,-1.652916234505586,30.772868689368906,1348.8712022384418
442000,中山,广东,-0.4,1.75,1.7786348044854794,-1.6466984590247755,30.9792957624232,1342.4338827694771
445100,潮州,广东,-0.4,1.75,1.6969891005606863,-1.6331759942334267,30.874225608725038,1377.362013836406
445200,揭阳,广东,-0.4,1.75,1.7327167451124614,-1.635173160153014,30.920203644602907,1344.426761505724
445300,云浮,广东,-0.4,1.75,1.7465470920067894,-1.602129051762513,30.938001968385187,1258.9110050144939
450100,南宁,广西,-0.4,1.75,1.9108325137130677,-1.5745337158757369,31.14942147583346,1193.2372373956068
450200,柳州,广西,-0.4,1.75,1.999722334648668,-1.5043177690774678,31.263814110092667,1129.9943374364768
450300,桂林,广西,-0.4,1.75,1.921951053936155,-1.4971224365413538,31.16372996573533,1126.1366854536727
450400,梧州,广西,-0.4,1.75,1.7347195613903965,-1.579704662872805,30.922781076164352,1256.402954526881
450500,北海,广西,-0.4,1.75,1.7664196833609536,-1.7161232651684122,30.963576078566014,1421.1355258812675
450600,防城港,广西,-0.4,1.75,1.9679840089594558,-1.6717599855692988,31.222969943186364,1304.9628400051104
450700,钦州,广西,-0.4,1.75,1.8652551385140548,-1.6630957689877213,31.09076778571731,1304.2640030643634
450800,贵港,广西,-0.4,1.75,1.8327014722626211,-1.5619565180201245,31.048874354072353,1203.4303409676475
450900,玉林,广西,-0.4,1.75,1.7528942410994564,-1.6352559277370782,30.94617013766603,1283.0956326778296
451000,百色,广西,-0.4,1.75,1.9864846436893124,-1.5245648238683462,31.246778477391302,1187.3117044678354
451100,贺州,广西,-0.4,1.75,1.760617746542037,-1.5296443743110455,30.956109544945676,1190.5923671645473
451200,河池,广西,-0.4,1.75,2.159192349348227,-1.4819224341332091,31.46903665272842,1108.7859499863687
451300,来宾,广西,-0.4,1.75,1.8312733325614339,-1.5686229922881043,31.047036475890245,1200.329090416334
451400,崇左,广西,-0.4,1.75,1.8831795430278797,-1.60154284457239,31.113834767158856,1160.117920493044
460100,海口,海南,-0.4,1.75,1.713212549094778,-1.786259616176333,30.895103623722143,1480.2688374910022
460200,三亚,海南,-0.4,1.75,1.762314664683995,-1.810484251643274,30.958293315081974,1500.6442925409347
460300,三沙,海南,-0.4,1.75,1.8367067168496787,-1.8972579530446176,31.054028717916758,1685.911607208856
460400,儋州,海南,-0.4,1.75,1.6209255756786334,-1.7235379336553502,30.776339181564772,1405.2964551333907
500000,重庆,重庆,-0.4,1.75,2.0626316359861674,-1.332141834263667,31.344772319071602,1032.7664850460465
510100,成都,四川,-0.4,1.75,1.950936830784622,-1.3265391269133509,31.201031867514928,1110.1395462178548
