gamma,spectral_scale,spatial,left_out_province,coverage,n,threshold_density_increase_pct
-0.25,0.7,City anchor,220000,0.99,328,13.083810094745353
-0.25,0.7,City anchor,220000,1.0,328,13.288441010467222
-0.25,0.7,City anchor,230000,0.5,324,11.104159070141018
-0.25,0.7,City anchor,230000,0.9,324,12.360886190278286
-0.25,0.7,City anchor,230000,0.95,324,12.53475672258233
-0.25,0.7,City anchor,230000,0.99,324,13.083810094745353
-0.25,0.7,City anchor,230000,1.0,324,13.288441010467222
-0.25,0.7,City anchor,310000,0.5,336,11.151565921443375
-0.25,0.7,City anchor,310000,0.9,336,12.477397168970473
-0.25,0.7,City anchor,310000,0.95,336,12.771799727921728
-0.25,0.7,City anchor,310000,0.99,336,13.083810094745353
-0.25,0.7,City anchor,310000,1.0,336,13.288441010467222
-0.25,0.7,City anchor,320000,0.5,324,11.131328879103641
-0.25,0.7,City anchor,320000,0.9,324,12.485824568075522
-0.25,0.7,City anchor,320000,0.95,324,12.771799727921728
-0.25,0.7,City anchor,320000,0.99,324,13.083810094745353
-0.25,0.7,City anchor,320000,1.0,324,13.288441010467222
-0.25,0.7,City anchor,330000,0.5,326,11.182233683916154
-0.25,0.7,City anchor,330000,0.9,326,12.485824568075522
-0.25,0.7,City anchor,330000,0.95,326,12.771799727921728
-0.25,0.7,City anchor,330000,0.99,326,13.083810094745353
-0.25,0.7,City anchor,330000,1.0,326,13.288441010467222
-0.25,0.7,City anchor,340000,0.5,321,11.194537832287033
-0.25,0.7,City anchor,340000,0.9,321,12.485824568075522
-0.25,0.7,City anchor,340000,0.95,321,12.771799727921728
-0.25,0.7,City anchor,340000,0.99,321,13.083810094745353
-0.25,0.7,City anchor,340000,1.0,321,13.288441010467222
-0.25,0.7,City anchor,350000,0.5,328,11.182233683916154
-0.25,0.7,City anchor,350000,0.9,328,12.485824568075522
-0.25,0.7,City anchor,350000,0.95,328,12.771799727921728
-0.25,0.7,City anchor,350000,0.99,328,13.083810094745353
-0.25,0.7,City anchor,350000,1.0,328,13.288441010467222
-0.25,0.7,City anchor,360000,0.5,326,11.19068769184599
-0.25,0.7,City anchor,360000,0.9,326,12.485824568075522
-0.25,0.7,City anchor,360000,0.95,326,12.771799727921728
-0.25,0.7,City anchor,360000,0.99,326,13.083810094745353
-0.25,0.7,City anchor,360000,1.0,326,13.288441010467222
-0.25,0.7,City anchor,370000,0.5,321,11.098221396064268
-0.25,0.7,City anchor,370000,0.9,321,12.485824568075522
-0.25,0.7,City anchor,370000,0.95,321,12.771799727921728
-0.25,0.7,City anchor,370000,0.99,321,13.083810094745353
-0.25,0.7,City anchor,370000,1.0,321,13.288441010467222
-0.25,0.7,City anchor,410000,0.5,320,11.141071924164535
-0.25,0.7,City anchor,410000,0.9,320,12.485824568075522
-0.25,0.7,City anchor,410000,0.95,320,12.771799727921728
-0.25,0.7,City anchor,410000,0.99,320,13.083810094745353
-0.25,0.7,City anchor,410000,1.0,320,13.288441010467222
-0.25,0.7,City anchor,420000,0.5,324,11.194537832287033
-0.25,0.7,City anchor,420000,0.9,324,12.485824568075522
-0.25,0.7,City anchor,420000,0.95,324,12.771799727921728
-0.25,0.7,City anchor,420000,0.99,324,13.083810094745353
-0.25,0.7,City anchor,420000,1.0,324,13.288441010467222
-0.25,0.7,City anchor,430000,0.5,323,11.196192495719991
-0.25,0.7,City anchor,430000,0.9,323,12.485824568075522
-0.25,0.7,City anchor,430000,0.95,323,12.771799727921728
-0.25,0.7,City anchor,430000,0.99,323,13.083810094745353
-0.25,0.7,City anchor,430000,1.0,323,13.288441010467222
-0.25,0.7,City anchor,440000,0.5,316,11.22636050906316
-0.25,0.7,City anchor,440000,0.9,316,12.506137717765498
-0.25,0.7,City anchor,440000,0.95,316,12.784336814323648
-0.25,0.7,City anchor,440000,0.99,316,13.083810094745353
-0.25,0.7,City anchor,440000,1.0,316,13.288441010467222
-0.25,0.7,City anchor,450000,0.5,323,11.196192495719991
-0.25,0.7,City anchor,450000,0.9,323,12.485824568075522
-0.25,0.7,City anchor,450000,0.95,323,12.771799727921728
-0.25,0.7,City anchor,450000,0.99,323,13.083810094745353
-0.25,0.7,City anchor,450000,1.0,323,13.288441010467222
-0.25,0.7,City anchor,460000,0.5,333,11.158282383858165
-0.25,0.7,City anchor,460000,0.9,333,12.477397168970473
-0.25,0.7,City anchor,460000,0.95,333,12.771799727921728
-0.25,0.7,City anchor,460000,0.99,333,13.083810094745353
-0.25,0.7,City anchor,460000,1.0,333,13.288441010467222
-0.25,0.7,City anchor,500000,0.5,336,11.151565921443375
-0.25,0.7,City anchor,500000,0.9,336,12.477397168970473
-0.25,0.7,City anchor,500000,0.95,336,12.771799727921728
-0.25,0.7,City anchor,500000,0.99,336,13.083810094745353
-0.25,0.7,City anchor,500000,1.0,336,13.288441010467222
-0.25,0.7,City anchor,510000,0.5,316,11.198983688354836
-0.25,0.7,City anchor,510000,0.9,316,12.506137717765498
-0.25,0.7,City anchor,510000,0.95,316,12.784336814323648
-0.25,0.7,City anchor,510000,0.99,316,13.083810094745353
-0.25,0.7,City anchor,510000,1.0,316,13.288441010467222
-0.25,0.7,City anchor,520000,0.5,328,11.182233683916154
-0.25,0.7,City anchor,520000,0.9,328,12.485824568075522
-0.25,0.7,City anchor,520000,0.95,328,12.771799727921728
-0.25,0.7,City anchor,520000,0.99,328,13.083810094745353
-0.25,0.7,City anchor,520000,1.0,328,13.288441010467222
-0.25,0.7,City anchor,530000,0.5,321,11.182233683916154
-0.25,0.7,City anchor,530000,0.9,321,12.485824568075522
-0.25,0.7,City anchor,530000,0.95,321,12.771799727921728
-0.25,0.7,City anchor,530000,0.99,321,13.083810094745353
-0.25,0.7,City anchor,530000,1.0,321,13.288441010467222
-0.25,0.7,City anchor,540000,0.5,330,11.129444844291037
-0.25,0.7,City anchor,540000,0.9,330,12.449992946190914
-0.25,0.7,City anchor,540000,0.95,330,12.766889278743365
-0.25,0.7,City anchor,540000,0.99,330,12.90891081534733
-0.25,0.7,City anchor,540000,1.0,330,13.134567380217677
-0.25,0.7,City anchor,610000,0.5,327,11.156057122540997
-0.25,0.7,City anchor,610000,0.9,327,12.485824568075522
-0.25,0.7,City anchor,610000,0.95,327,12.771799727921728
-0.25,0.7,City anchor,610000,0.99,327,13.083810094745353
-0.25,0.7,City anchor,610000,1.0,327,13.288441010467222
-0.25,0.7,City anchor,620000,0.5,323,11.104159070141018
-0.25,0.7,City anchor,620000,0.9,323,12.477397168970473
-0.25,0.7,City anchor,620000,0.95,323,12.771799727921728
-0.25,0.7,City anchor,620000,0.99,323,13.083810094745353
-0.25,0.7,City anchor,620000,1.0,323,13.288441010467222
-0.25,0.7,City anchor,630000,0.5,329,11.129444844291037
-0.25,0.7,City anchor,630000,0.9,329,12.438874595980609
-0.25,0.7,City anchor,630000,0.95,329,12.732082533251244
-0.25,0.7,City anchor,630000,0.99,329,12.997337202157745
-0.25,0.7,City anchor,630000,1.0,329,13.288441010467222
-0.25,0.7,City anchor,640000,0.5,332,11.130231677037061
-0.25,0.7,City anchor,640000,0.9,332,12.477397168970473
-0.25,0.7,City anchor,640000,0.95,332,12.771799727921728
-0.25,0.7,City anchor,640000,0.99,332,13.083810094745353
-0.25,0.7,City anchor,640000,1.0,332,13.288441010467222
-0.25,0.7,City anchor,650000,0.5,323,11.104159070141018
-0.25,0.7,City anchor,650000,0.9,323,12.477397168970473
-0.25,0.7,City anchor,650000,0.95,323,12.771799727921728
-0.25,0.7,City anchor,650000,0.99,323,13.083810094745353
-0.25,0.7,City anchor,650000,1.0,323,13.288441010467222
-0.25,1.0,Primary,None,0.5,337,11.01177818383412
-0.25,1.0,Primary,None,0.9,337,12.440723164326805
-0.25,1.0,Primary,None,0.95,337,12.711810875607132
-0.25,1.0,Primary,None,0.99,337,12.893417602577761
-0.25,1.0,Primary,None,1.0,337,13.138710178384061
-0.25,1.0,Primary,110000,0.5,336,11.010212338473746
-0.25,1.0,Primary,110000,0.9,336,12.440723164326805
-0.25,1.0,Primary,110000,0.95,336,12.711810875607132
-0.25,1.0,Primary,110000,0.99,336,12.893417602577761
-0.25,1.0,Primary,110000,1.0,336,13.138710178384061
-0.25,1.0,Primary,120000,0.5,336,11.010212338473746
-0.25,1.0,Primary,120000,0.9,336,12.440723164326805
-0.25,1.0,Primary,120000,0.95,336,12.711810875607132
-0.25,1.0,Primary,120000,0.99,336,12.893417602577761
-0.25,1.0,Primary,120000,1.0,336,13.138710178384061
-0.25,1.0,Primary,130000,0.5,326,10.991634555907371
-0.25,1.0,Primary,130000,0.9,326,12.447301658769483
-0.25,1.0,Primary,130000,0.95,326,12.711810875607132
-0.25,1.0,Primary,130000,0.99,326,12.893417602577761
-0.25,1.0,Primary,130000,1.0,326,13.138710178384061
-0.25,1.0,Primary,140000,0.5,326,10.991634555907371
-0.25,1.0,Primary,140000,0.9,326,12.447301658769483
-0.25,1.0,Primary,140000,0.95,326,12.711810875607132
-0.25,1.0,Primary,140000,0.99,326,12.893417602577761
-0.25,1.0,Primary,140000,1.0,326,13.138710178384061
-0.25,1.0,Primary,150000,0.5,325,10.991634555907371
-0.25,1.0,Primary,150000,0.9,325,12.385130283313073
-0.25,1.0,Primary,150000,0.95,325,12.68913680338295
-0.25,1.0,Primary,150000,0.99,325,12.838022472907241
-0.25,1.0,Primary,150000,1.0,325,13.138710178384061
-0.25,1.0,Primary,210000,0.5,323,10.989586953199337
-0.25,1.0,Primary,210000,0.9,323,12.447301658769483
-0.25,1.0,Primary,210000,0.95,323,12.711810875607132
-0.25,1.0,Primary,210000,0.99,323,12.893417602577761
-0.25,1.0,Primary,210000,1.0,323,13.138710178384061
-0.25,1.0,Primary,220000,0.5,328,10.995347111551768
-0.25,1.0,Primary,220000,0.9,328,12.345244417083311
-0.25,1.0,Primary,220000,0.95,328,12.705361554716376
-0.25,1.0,Primary,220000,0.99,328,12.893417602577761
-0.25,1.0,Primary,220000,1.0,328,13.138710178384061
-0.25,1.0,Primary,230000,0.5,324,10.989586953199337
-0.25,1.0,Primary,230000,0.9,324,12.295895794598643
-0.25,1.0,Primary,230000,0.95,324,12.469731875147684
-0.25,1.0,Primary,230000,0.99,324,12.748042642130741
-0.25,1.0,Primary,230000,1.0,324,13.035216387916272
-0.25,1.0,Primary,310000,0.5,336,11.01177818383412
-0.25,1.0,Primary,310000,0.9,336,12.440723164326805
-0.25,1.0,Primary,310000,0.95,336,12.711810875607132
-0.25,1.0,Primary,310000,0.99,336,12.893417602577761
-0.25,1.0,Primary,310000,1.0,336,13.138710178384061
-0.25,1.0,Primary,320000,0.5,324,11.005974774563398
-0.25,1.0,Primary,320000,0.9,324,12.447301658769483
-0.25,1.0,Primary,320000,0.95,324,12.711810875607132
-0.25,1.0,Primary,320000,0.99,324,12.893417602577761
-0.25,1.0,Primary,320000,1.0,324,13.138710178384061
-0.25,1.0,Primary,330000,0.5,326,11.031432395403296
-0.25,1.0,Primary,330000,0.9,326,12.447301658769483
-0.25,1.0,Primary,330000,0.95,326,12.711810875607132
-0.25,1.0,Primary,330000,0.99,326,12.893417602577761
-0.25,1.0,Primary,330000,1.0,326,13.138710178384061
-0.25,1.0,Primary,340000,0.5,321,11.040713090789133
-0.25,1.0,Primary,340000,0.9,321,12.447301658769483
-0.25,1.0,Primary,340000,0.95,321,12.711810875607132
-0.25,1.0,Primary,340000,0.99,321,12.893417602577761
-0.25,1.0,Primary,340000,1.0,321,13.138710178384061
-0.25,1.0,Primary,350000,0.5,328,11.031432395403296
-0.25,1.0,Primary,350000,0.9,328,12.447301658769483
-0.25,1.0,Primary,350000,0.95,328,12.711810875607132
-0.25,1.0,Primary,350000,0.99,328,12.893417602577761
-0.25,1.0,Primary,350000,1.0,328,13.138710178384061
-0.25,1.0,Primary,360000,0.5,326,11.039874972733044
-0.25,1.0,Primary,360000,0.9,326,12.447301658769483
-0.25,1.0,Primary,360000,0.95,326,12.711810875607132
-0.25,1.0,Primary,360000,0.99,326,12.893417602577761
-0.25,1.0,Primary,360000,1.0,326,13.138710178384061
-0.25,1.0,Primary,370000,0.5,321,10.979431738430412
-0.25,1.0,Primary,370000,0.9,321,12.447301658769483
-0.25,1.0,Primary,370000,0.95,321,12.711810875607132
-0.25,1.0,Primary,370000,0.99,321,12.893417602577761
-0.25,1.0,Primary,370000,1.0,321,13.138710178384061
-0.25,1.0,Primary,410000,0.5,320,11.006190867204268
-0.25,1.0,Primary,410000,0.9,320,12.447301658769483
-0.25,1.0,Primary,410000,0.95,320,12.711810875607132
-0.25,1.0,Primary,410000,0.99,320,12.893417602577761
-0.25,1.0,Primary,410000,1.0,320,13.138710178384061
-0.25,1.0,Primary,420000,0.5,324,11.040713090789133
-0.25,1.0,Primary,420000,0.9,324,12.447301658769483
-0.25,1.0,Primary,420000,0.95,324,12.711810875607132
-0.25,1.0,Primary,420000,0.99,324,12.893417602577761
-0.25,1.0,Primary,420000,1.0,324,13.138710178384061
-0.25,1.0,Primary,430000,0.5,323,11.051820445854666
-0.25,1.0,Primary,430000,0.9,323,12.447301658769483
-0.25,1.0,Primary,430000,0.95,323,12.711810875607132
-0.25,1.0,Primary,430000,0.99,323,12.893417602577761
-0.25,1.0,Primary,430000,1.0,323,13.138710178384061
-0.25,1.0,Primary,440000,0.5,316,11.064923999501364
-0.25,1.0,Primary,440000,0.9,316,12.452463774952438
-0.25,1.0,Primary,440000,0.95,316,12.714945082474172
-0.25,1.0,Primary,440000,0.99,316,12.893417602577761
-0.25,1.0,Primary,440000,1.0,316,13.138710178384061
-0.25,1.0,Primary,450000,0.5,323,11.051820445854666
-0.25,1.0,Primary,450000,0.9,323,12.447301658769483
-0.25,1.0,Primary,450000,0.95,323,12.711810875607132
-0.25,1.0,Primary,450000,0.99,323,12.893417602577761
-0.25,1.0,Primary,450000,1.0,323,13.138710178384061
-0.25,1.0,Primary,460000,0.5,333,11.020528040298384
-0.25,1.0,Primary,460000,0.9,333,12.440723164326805
-0.25,1.0,Primary,460000,0.95,333,12.711810875607132
-0.25,1.0,Primary,460000,0.99,333,12.893417602577761
-0.25,1.0,Primary,460000,1.0,333,13.138710178384061
-0.25,1.0,Primary,500000,0.5,336,11.01177818383412
-0.25,1.0,Primary,500000,0.9,336,12.440723164326805
-0.25,1.0,Primary,500000,0.95,336,12.711810875607132
-0.25,1.0,Primary,500000,0.99,336,12.893417602577761
-0.25,1.0,Primary,500000,1.0,336,13.138710178384061
-0.25,1.0,Primary,510000,0.5,316,11.059406367891844
-0.25,1.0,Primary,510000,0.9,316,12.452463774952438
-0.25,1.0,Primary,510000,0.95,316,12.714945082474172
-0.25,1.0,Primary,510000,0.99,316,12.893417602577761
-0.25,1.0,Primary,510000,1.0,316,13.138710178384061
-0.25,1.0,Primary,520000,0.5,328,11.031432395403296
-0.25,1.0,Primary,520000,0.9,328,12.447301658769483
-0.25,1.0,Primary,520000,0.95,328,12.711810875607132
-0.25,1.0,Primary,520000,0.99,328,12.893417602577761
-0.25,1.0,Primary,520000,1.0,328,13.138710178384061
-0.25,1.0,Primary,530000,0.5,321,11.040713090789133
-0.25,1.0,Primary,530000,0.9,321,12.447301658769483
